M_sun,Lambda
1.483700292737430093e+00,0.000000000000000000e+00
1.486354093854748593e+00,0.000000000000000000e+00
1.489007894972067092e+00,0.000000000000000000e+00
1.491661696089385369e+00,0.000000000000000000e+00
1.494315497206703869e+00,0.000000000000000000e+00
1.496969298324022368e+00,0.000000000000000000e+00
1.499623099441340646e+00,0.000000000000000000e+00
1.502276900558659367e+00,0.000000000000000000e+00
1.504930701675977645e+00,0.000000000000000000e+00
1.507584502793295922e+00,0.000000000000000000e+00
1.510238303910614643e+00,0.000000000000000000e+00
1.512892105027932921e+00,0.000000000000000000e+00
1.515545906145251420e+00,0.000000000000000000e+00
1.518199707262569920e+00,0.000000000000000000e+00
1.520853508379888197e+00,0.000000000000000000e+00
1.523507309497206696e+00,0.000000000000000000e+00
1.526161110614525196e+00,0.000000000000000000e+00
1.528814911731843473e+00,0.000000000000000000e+00
1.531468712849162195e+00,0.000000000000000000e+00
1.534122513966480472e+00,0.000000000000000000e+00
1.536776315083798972e+00,0.000000000000000000e+00
1.539430116201117249e+00,0.000000000000000000e+00
1.542083917318435748e+00,0.000000000000000000e+00
1.544737718435754248e+00,0.000000000000000000e+00
1.547391519553072747e+00,0.000000000000000000e+00
1.550045320670391025e+00,0.000000000000000000e+00
1.552699121787709524e+00,0.000000000000000000e+00
1.555352922905028024e+00,0.000000000000000000e+00
1.558006724022346301e+00,0.000000000000000000e+00
1.560660525139665022e+00,0.000000000000000000e+00
1.563314326256983300e+00,0.000000000000000000e+00
1.565968127374301577e+00,0.000000000000000000e+00
1.568621928491620077e+00,0.000000000000000000e+00
1.571275729608938576e+00,0.000000000000000000e+00
1.573929530726256854e+00,0.000000000000000000e+00
1.576583331843575353e+00,0.000000000000000000e+00
1.579237132960893852e+00,0.000000000000000000e+00
1.581890934078212574e+00,0.000000000000000000e+00
1.584544735195530851e+00,0.000000000000000000e+00
1.587198536312849129e+00,0.000000000000000000e+00
1.589852337430167628e+00,0.000000000000000000e+00
1.592506138547486128e+00,0.000000000000000000e+00
1.595159939664804405e+00,0.000000000000000000e+00
1.597813740782122904e+00,0.000000000000000000e+00
1.600467541899441404e+00,0.000000000000000000e+00
1.603121343016759681e+00,0.000000000000000000e+00
1.605775144134078403e+00,0.000000000000000000e+00
1.608428945251396680e+00,0.000000000000000000e+00
1.611082746368715179e+00,0.000000000000000000e+00
1.613736547486033679e+00,0.000000000000000000e+00
1.616390348603351956e+00,0.000000000000000000e+00
1.619044149720670456e+00,0.000000000000000000e+00
1.621697950837988955e+00,0.000000000000000000e+00
1.624351751955307233e+00,0.000000000000000000e+00
1.627005553072625732e+00,0.000000000000000000e+00
1.629659354189944231e+00,0.000000000000000000e+00
1.632313155307262509e+00,0.000000000000000000e+00
1.634966956424581008e+00,0.000000000000000000e+00
1.637620757541899508e+00,0.000000000000000000e+00
1.640274558659217785e+00,0.000000000000000000e+00
1.642928359776536285e+00,0.000000000000000000e+00
1.645582160893854784e+00,0.000000000000000000e+00
1.648235962011173061e+00,0.000000000000000000e+00
1.650889763128491561e+00,0.000000000000000000e+00
1.652940394655326273e+00,0.000000000000000000e+00
1.653543564245810060e+00,0.000000000000000000e+00
1.656197365363128560e+00,0.000000000000000000e+00
1.658851166480447059e+00,0.000000000000000000e+00
1.661504967597765337e+00,0.000000000000000000e+00
1.664158768715083836e+00,0.000000000000000000e+00
1.666072325399111431e+00,0.000000000000000000e+00
1.666812569832402335e+00,0.000000000000000000e+00
1.669466370949720613e+00,0.000000000000000000e+00
1.672120172067039334e+00,0.000000000000000000e+00
1.674272173693302612e+00,0.000000000000000000e+00
1.674773973184357612e+00,0.000000000000000000e+00
1.677427774301675889e+00,0.000000000000000000e+00
1.679851627825528215e+00,0.000000000000000000e+00
1.680081575418994388e+00,0.000000000000000000e+00
1.682735376536312888e+00,0.000000000000000000e+00
1.683843221509585097e+00,0.000000000000000000e+00
1.685389177653631387e+00,0.000000000000000000e+00
1.686629838245504720e+00,2.111366337127105908e+01
1.688042978770949887e+00,6.819672814529059224e+01
1.688467564855296255e+00,8.191112367716482368e+01
1.689627429749250620e+00,1.427085839830585883e+02
1.690109617514363283e+00,2.035060442889525802e+02
1.690111857214725122e+00,2.643035045948463448e+02
1.689760794140201305e+00,3.251009649007403368e+02
1.689158459919393618e+00,3.858984252066341014e+02
1.688397959081132216e+00,4.466958855125278660e+02
1.688042978770949887e+00,4.737263394766441706e+02
1.687650047890334681e+00,5.074933458184218580e+02
1.686917743568861816e+00,5.682908061243156226e+02
1.686093630514021280e+00,6.290882664302096146e+02
1.685389177653631387e+00,6.735765797598339759e+02
1.685147770765926811e+00,6.898857267361033792e+02
1.684085857481441462e+00,7.506831870419971438e+02
1.682735376536312888e+00,8.103257013949948941e+02
1.682709870961573762e+00,8.114806473478911357e+02
1.681187446995107582e+00,8.722781076537849003e+02
1.680081575418994388e+00,9.095064050282271637e+02
1.679381249158849565e+00,9.330755679596786649e+02
1.677427774301675889e+00,9.926927332849902541e+02
1.677388860428212558e+00,9.938730282655728843e+02
1.675420896431933260e+00,1.054670488571466649e+03
1.674773973184357612e+00,1.075571699209634744e+03
1.673551868574017609e+00,1.115467948877360413e+03
1.672120172067039112e+00,1.166984278390729060e+03
1.671865231181775879e+00,1.176265409183254178e+03
1.670416062839060523e+00,1.237062869489147943e+03
1.669466370949720613e+00,1.277819390361151363e+03
1.668999694107442089e+00,1.297860329795042162e+03
1.667513066048116332e+00,1.358657790100935927e+03
1.666812569832402335e+00,1.384684618907957201e+03
1.665864562069093058e+00,1.419455250406829691e+03
1.664158768715083836e+00,1.477477109317112991e+03
1.664076352912050805e+00,1.480252710712723456e+03
