R_km,M_sun
1.065050181259603512e+01,1.327997156910982302e+00
1.072895778700247149e+01,1.326960892296677574e+00
1.080741376140890964e+01,1.326229633853178713e+00
1.088586973581534778e+01,1.325924508776994859e+00
1.096432571022178593e+01,1.326099322985363038e+00
1.104278168462822407e+01,1.326729919438519145e+00
1.112123765903466222e+01,1.327737367780921662e+00
1.118261569902244190e+01,1.328747806413501209e+00
1.119969363344109858e+01,1.329038042889955085e+00
1.127814960784753673e+01,1.330561497503635060e+00
1.135660558225397310e+01,1.332160915002553292e+00
1.138230225065674261e+01,1.332697646091176136e+00
1.143506155666041124e+01,1.333810365624714223e+00
1.151351753106684939e+01,1.335457151241999929e+00
1.156996050168855206e+01,1.336647485768851062e+00
1.159197350547328753e+01,1.337116876178045644e+00
1.167042947987972568e+01,1.338836125543714228e+00
1.174557355929876934e+01,1.340597325446525989e+00
1.174888545428616204e+01,1.340678316002211323e+00
1.182734142869260197e+01,1.342789476098178225e+00
1.188375719519937945e+01,1.344547165124200916e+00
1.190579740309903656e+01,1.345298446009902893e+00
1.198425337750547470e+01,1.348444087331810648e+00
1.198540468548440963e+01,1.348497004801875843e+00
1.206179920544747297e+01,1.352446844479550547e+00
1.206270935191191285e+01,1.352498510356725747e+00
1.212464928648308060e+01,1.356396684157225696e+00
1.214116532631835099e+01,1.357487569281658146e+00
1.218244040762376912e+01,1.360346523834900401e+00
1.221962130072478914e+01,1.362876795980221045e+00
1.224075142051302478e+01,1.364296363512575327e+00
1.229807727513122551e+01,1.367869700514575015e+00
1.230456094751697549e+01,1.368246203190250032e+00
1.237653324953766365e+01,1.372016344974903213e+00
1.238038967904636856e+01,1.372196042867925181e+00
1.245498922394410002e+01,1.375341629217362360e+00
1.247684728664676079e+01,1.376145882545599886e+00
1.253344519835053816e+01,1.378081753742483206e+00
1.259912276546389620e+01,1.380095722223274812e+00
1.261190117275697631e+01,1.380475811428766519e+00
1.269035714716341445e+01,1.382699510988669056e+00
1.273652126833467335e+01,1.384045561900949739e+00
1.276881312156985260e+01,1.385029530522154051e+00
1.284726909597628897e+01,1.387686466645676076e+00
1.285545529461567149e+01,1.387995401578624888e+00
1.292572507038272889e+01,1.391010175117755931e+00
1.294488831007597085e+01,1.391945241256299592e+00
1.300418104478916526e+01,1.395415557211694191e+00
1.301161937530840440e+01,1.395895080933974519e+00
1.306247835450179906e+01,1.399844920611649446e+00
1.308263701919560162e+01,1.401782127071812045e+00
1.310283465869840569e+01,1.403794760289324373e+00
1.313620869115191070e+01,1.407744599966999077e+00
1.316109299360203977e+01,1.411218501874224263e+00
1.316457840059150719e+01,1.411694439644674004e+00
1.319104432520334313e+01,1.415644279322348931e+00
1.321485879465209123e+01,1.419594119000023857e+00
1.323675979571924444e+01,1.423543958677698784e+00
1.323954896800847791e+01,1.424071343183278771e+00
1.325891012100382937e+01,1.427493798355373489e+00
1.327999449824473110e+01,1.431443638033048416e+00
1.329980725297975042e+01,1.435393477710723342e+00
1.331800494241491606e+01,1.439343317388398269e+00
1.333536548081646522e+01,1.443293157066073196e+00
1.334847265178733977e+01,1.447242996743748122e+00
1.335528331439969207e+01,1.451192836421423049e+00
1.335360140413907004e+01,1.455142676099097976e+00
1.334176520484959028e+01,1.459092515776772681e+00
1.331949000087911728e+01,1.463042355454447607e+00
1.331800494241491606e+01,1.463234190938797141e+00
1.329042942169658303e+01,1.466992195132122534e+00
1.325588343321712870e+01,1.470942034809797461e+00
1.323954896800847791e+01,1.472750358176634800e+00
1.322027518383339384e+01,1.474891874487472387e+00
1.318683750301362778e+01,1.478841714165147092e+00
1.316109299360203977e+01,1.482360193728535558e+00
1.315778915653194581e+01,1.482791553842822019e+00
1.313319308237147709e+01,1.486741393520496946e+00
1.311203435155295338e+01,1.490691233198171872e+00
1.309094931117288318e+01,1.494641072875846799e+00
1.308263701919560340e+01,1.495965192459375537e+00
1.306436165897000912e+01,1.498590912553521726e+00
1.302678195793898652e+01,1.502540752231196430e+00
1.300418104478916348e+01,1.504278876823538003e+00
1.297384095814088312e+01,1.506490591908871579e+00
1.292572507038272711e+01,1.509266083180616169e+00
1.290567458705827164e+01,1.510440431586546284e+00
1.284726909597628897e+01,1.513394753481367649e+00
1.282845203227811126e+01,1.514390271264221211e+00
1.276881312156985260e+01,1.517241442302619925e+00
1.274641024662852828e+01,1.518340110941895915e+00
1.269035714716341445e+01,1.520848365643815203e+00
1.265769077547988530e+01,1.522289950619571064e+00
1.261190117275697631e+01,1.524123778661389261e+00
1.255682122722202898e+01,1.526239790297245991e+00
1.253344519835053816e+01,1.527053302322076256e+00
1.245498922394410002e+01,1.529682378777935670e+00
1.243949557324410371e+01,1.530189629974920695e+00
1.237653324953766365e+01,1.532076129435933520e+00
1.230406176314777333e+01,1.534139469652595622e+00
1.229807727513122373e+01,1.534298987539770787e+00
1.221962130072478914e+01,1.536294268621367642e+00
1.214116532631835099e+01,1.538058790319958291e+00
1.213961664346408398e+01,1.538089309330270549e+00
1.206270935191191285e+01,1.539604337225214170e+00
1.198425337750547470e+01,1.540931045806003485e+00
1.190909278313085906e+01,1.542039149007945475e+00
1.190579740309903656e+01,1.542091426863914538e+00
1.182734142869260197e+01,1.543233367294207570e+00
1.174888545428616204e+01,1.544328317179404220e+00
1.167042947987972568e+01,1.545373280524810378e+00
1.161919185808011612e+01,1.545988988685620402e+00
1.159197350547328753e+01,1.546332326816310276e+00
1.151351753106684939e+01,1.547119964168565787e+00
1.143506155666041124e+01,1.547631428665158460e+00
1.135660558225397310e+01,1.547872673479597783e+00
1.127814960784753495e+01,1.547900452185195341e+00
1.119969363344109858e+01,1.547792863355679449e+00
1.112123765903466222e+01,1.547625164165804978e+00
1.104278168462822407e+01,1.547457088389706747e+00
1.096432571022178593e+01,1.547327256897400360e+00
1.088586973581534778e+01,1.547249070798828896e+00
1.080741376140890964e+01,1.547205387189271697e+00
1.072895778700247149e+01,1.547142932521581526e+00
1.065050181259603512e+01,1.546970307606991168e+00
1.057204583818959875e+01,1.546563688344124277e+00
1.051391129915808165e+01,1.545988988685620402e+00
1.049358986378316061e+01,1.545777208328137808e+00
1.041513388937672246e+01,1.544425662506308861e+00
1.033667791497028432e+01,1.542352618120847341e+00
1.032786356176825926e+01,1.542039149007945475e+00
1.025822194056384618e+01,1.539301135495033224e+00
1.023398117034143340e+01,1.538089309330270549e+00
1.017976596615740803e+01,1.535108731913524149e+00
1.016479357663343919e+01,1.534139469652595622e+00
1.010756591627789902e+01,1.530189629974920695e+00
1.010130999175097166e+01,1.529745174566390142e+00
1.005626636155125553e+01,1.526239790297245991e+00
1.002285401734453352e+01,1.523653368992059498e+00
1.000610174554825527e+01,1.522289950619571064e+00
9.955476567377939290e+00,1.518340110941896137e+00
9.944398042938097149e+00,1.517524992815971974e+00
9.902902953186302426e+00,1.514390271264221211e+00
9.865942068531659004e+00,1.511728263769579028e+00
9.848399349043456041e+00,1.510440431586546284e+00
9.793124252263158525e+00,1.506490591908871579e+00
9.787486094125220859e+00,1.506093873848441067e+00
9.738465024550624349e+00,1.502540752231196652e+00
9.709030119718782714e+00,1.500350574712632667e+00
9.686079180727183768e+00,1.498590912553521726e+00
9.636774339337433659e+00,1.494641072875846799e+00
9.630574145312344569e+00,1.494129113787465712e+00
9.590071249710277357e+00,1.490691233198171872e+00
9.552118170905908201e+00,1.487309763967006537e+00
9.545850642975571176e+00,1.486741393520496946e+00
9.502817271744415706e+00,1.482791553842822019e+00
9.473662196499470056e+00,1.480053063132272584e+00
9.460926672087845546e+00,1.478841714165147092e+00
9.419720393062148034e+00,1.474891874487472387e+00
9.395206222093033688e+00,1.472480479228857497e+00
9.379726467788154665e+00,1.470942034809797461e+00
9.341187998633197154e+00,1.466992195132122534e+00
9.316750247686595543e+00,1.464340785790180899e+00
9.304772972309164558e+00,1.463042355454447607e+00
9.270113869271185081e+00,1.459092515776772681e+00
9.238384658228349977e+00,1.455142676099097976e+00
9.238294273280157398e+00,1.455130891871033283e+00
9.207282964079208654e+00,1.451192836421423049e+00
9.178804734848799995e+00,1.447242996743748122e+00
9.159838298873719253e+00,1.444404087867718678e+00
9.152037852529842255e+00,1.443293157066072974e+00
