M_sun,Lambda
1.729363266759776252e+00,0.000000000000000000e+00
1.733168686312849038e+00,0.000000000000000000e+00
1.736974105865921381e+00,0.000000000000000000e+00
1.740779525418994167e+00,0.000000000000000000e+00
1.744584944972066953e+00,0.000000000000000000e+00
1.748390364525139518e+00,0.000000000000000000e+00
1.752195784078212082e+00,0.000000000000000000e+00
1.756001203631284424e+00,0.000000000000000000e+00
1.759806623184357655e+00,0.000000000000000000e+00
1.763612042737429997e+00,0.000000000000000000e+00
1.767417462290502561e+00,0.000000000000000000e+00
1.771222881843575347e+00,0.000000000000000000e+00
1.775028301396647912e+00,0.000000000000000000e+00
1.777878065410622765e+00,0.000000000000000000e+00
1.778833720949720476e+00,0.000000000000000000e+00
1.782639140502793040e+00,0.000000000000000000e+00
1.786444560055865827e+00,0.000000000000000000e+00
1.790249979608938391e+00,0.000000000000000000e+00
1.794055399162010955e+00,0.000000000000000000e+00
1.797860818715083742e+00,0.000000000000000000e+00
1.801666238268156306e+00,0.000000000000000000e+00
1.805471657821228870e+00,0.000000000000000000e+00
1.809277077374301435e+00,0.000000000000000000e+00
1.813082496927374443e+00,0.000000000000000000e+00
1.816887916480446785e+00,0.000000000000000000e+00
1.820693336033519349e+00,0.000000000000000000e+00
1.824498755586592136e+00,0.000000000000000000e+00
1.828304175139664700e+00,0.000000000000000000e+00
1.832109594692737486e+00,0.000000000000000000e+00
1.835915014245809829e+00,0.000000000000000000e+00
1.839720433798882393e+00,0.000000000000000000e+00
1.843525853351955179e+00,0.000000000000000000e+00
1.847331272905027966e+00,0.000000000000000000e+00
1.851136692458100530e+00,0.000000000000000000e+00
1.854942112011173094e+00,0.000000000000000000e+00
1.858747531564245659e+00,0.000000000000000000e+00
1.859217043189087759e+00,0.000000000000000000e+00
1.862552951117318223e+00,0.000000000000000000e+00
1.866358370670390787e+00,0.000000000000000000e+00
1.870163790223463574e+00,0.000000000000000000e+00
1.873969209776535916e+00,0.000000000000000000e+00
1.877774629329608924e+00,0.000000000000000000e+00
1.881580048882681488e+00,0.000000000000000000e+00
1.885385468435754053e+00,0.000000000000000000e+00
1.889190887988826617e+00,0.000000000000000000e+00
1.892373615207756821e+00,0.000000000000000000e+00
1.892996307541899181e+00,0.000000000000000000e+00
1.896801727094971968e+00,0.000000000000000000e+00
1.900607146648044532e+00,0.000000000000000000e+00
1.904412566201117318e+00,3.757226462204986461e+00
1.907334326012487535e+00,1.158850589665917141e+01
1.908217985754189883e+00,1.456516703699710291e+01
1.912023405307262447e+00,2.825957993130650081e+01
1.915828824860335011e+00,4.339557975439016246e+01
1.916224462543017815e+00,4.501515357145240870e+01
1.919634244413407576e+00,6.698608320716475362e+01
1.921319157216340390e+00,7.844180124624574546e+01
1.923254304453334562e+00,1.118684489210390893e+02
1.922709108574833348e+00,1.452950965958323195e+02
1.920179155608165988e+00,1.787217442706256634e+02
1.919634244413407798e+00,1.831905287659251940e+02
1.916055125321618702e+00,2.121483919454188651e+02
1.915828824860335011e+00,2.135814212352140657e+02
1.912023405307262447e+00,2.369557431310400943e+02
1.910527465715247786e+00,2.455750396202122374e+02
1.908217985754189883e+00,2.572978332182229337e+02
1.904412566201117318e+00,2.749404778967212337e+02
1.903458188353397640e+00,2.790016872950054676e+02
1.900607146648044532e+00,2.905080114518324876e+02
1.896801727094971968e+00,3.041272553491920121e+02
1.894175942216646646e+00,3.124283349697988115e+02
1.892996307541899181e+00,3.161488714900218042e+02
1.889190887988826617e+00,3.269601390623855650e+02
1.885385468435754053e+00,3.365293012085448936e+02
1.881580048882681488e+00,3.451751949377115238e+02
1.881265263994639447e+00,3.458549826445921553e+02
1.877774629329608924e+00,3.537625762386062434e+02
1.873969209776536138e+00,3.621227621674809711e+02
1.870163790223463574e+00,3.704839812994734984e+02
1.866358370670390787e+00,3.790497068573839101e+02
1.866261161280688974e+00,3.792816303193853855e+02
1.862552951117318223e+00,3.887689523774429290e+02
1.858747531564245659e+00,3.988899422912621731e+02
1.854942112011173094e+00,4.093070389153374435e+02
1.853745364186549782e+00,4.127082779941786157e+02
1.851136692458100530e+00,4.207314320771603207e+02
1.847331272905027966e+00,4.325804006025258559e+02
1.843525853351955179e+00,4.442930020325790679e+02
1.842933003250522450e+00,4.461349256689720733e+02
1.839720433798882393e+00,4.571511483019337447e+02
1.835915014245809829e+00,4.698896482501407945e+02
1.832945469812735872e+00,4.795615733437653034e+02
1.832109594692737264e+00,4.826410810170092418e+02
1.828304175139664700e+00,4.965083682928003554e+02
1.824498755586592136e+00,5.097551440080030716e+02
1.823554037019173624e+00,5.129882210185585336e+02
1.820693336033519349e+00,5.241781875490059974e+02
1.816887916480446785e+00,5.383473459717768037e+02
1.814617020376600776e+00,5.464148686933517638e+02
1.813082496927374221e+00,5.526309590729858883e+02
1.809277077374301435e+00,5.673016365001683425e+02
1.805751092207872111e+00,5.798415163681452213e+02
1.805471657821228870e+00,5.809606452290257721e+02
1.801666238268156306e+00,5.955714064065998627e+02
1.797860818715083742e+00,6.089721468794017483e+02
1.796581215192389891e+00,6.132681640429384515e+02
1.794055399162010955e+00,6.226772250230919781e+02
1.790249979608938169e+00,6.361588203616900046e+02
1.787153787273866534e+00,6.466948117177316817e+02
1.786444560055865827e+00,6.493068460387695495e+02
1.782639140502793040e+00,6.631894437274665961e+02
1.778833720949720476e+00,6.766454967040053816e+02
1.777844267250713317e+00,6.801214593925251393e+02
1.775028301396647912e+00,6.903909804242671271e+02
1.771222881843575347e+00,7.037631657774478526e+02
1.768303148321800577e+00,7.135481070673183694e+02
1.767417462290502783e+00,7.165377948980117253e+02
1.763612042737429997e+00,7.288583908290845557e+02
1.759806623184357433e+00,7.402988364811252495e+02
1.757449790930173172e+00,7.469747547421115996e+02
1.756001203631284646e+00,7.511162808664637396e+02
1.752195784078212082e+00,7.615749851429363844e+02
1.748390364525139518e+00,7.716517257174061797e+02
1.745040499014008484e+00,7.804014024169048298e+02
1.744584944972066953e+00,7.816436505927713370e+02
1.740779525418994167e+00,7.921825446023731274e+02
1.736974105865921825e+00,8.029078864158063880e+02
1.733168686312849038e+00,8.138280500916982874e+02
1.729363266759776252e+00,8.256211972707819768e+02
1.725557847206703688e+00,8.372262564475927320e+02
1.722104348262508022e+00,8.472546977664915175e+02
1.721752427653630901e+00,8.483754182872517049e+02
1.717947008100558559e+00,8.591943924200292031e+02
1.714141588547485773e+00,8.684806696404102695e+02
1.710336168994413208e+00,8.758267590461600776e+02
1.706680110460070621e+00,8.806813454412847477e+02
1.706530749441340422e+00,8.808959279477006703e+02
1.702725329888268302e+00,8.835565044078239225e+02
1.698919910335195516e+00,8.835114992743906441e+02
1.695114490782122729e+00,8.808246485458334973e+02
1.695006975278935624e+00,8.806813454412847477e+02
1.691309071229050165e+00,8.758458063637220903e+02
1.687503651675977601e+00,8.684918392466890964e+02
1.683698232122905036e+00,8.585241919701002189e+02
1.680433409425510893e+00,8.472546977664915175e+02
1.679892812569832250e+00,8.454293234135203647e+02
1.676087393016759464e+00,8.286945478501774005e+02
1.673564537255519680e+00,8.138280500916982874e+02
1.672281973463686899e+00,8.062420876507546836e+02
1.668960420080420448e+00,7.804014024169048298e+02
1.668476553910614335e+00,7.766116902776145707e+02
1.665459292692014426e+00,7.469747547421115996e+02
1.664671134357541771e+00,7.392352220616735394e+02
1.662466366505219284e+00,7.135481070673183694e+02
1.660865714804469206e+00,6.952345316241830915e+02
1.659694766313233760e+00,6.801214593925251393e+02
1.657060295251396198e+00,6.474634178850769786e+02
1.657003223724745400e+00,6.466948117177317954e+02
1.654324446715121688e+00,6.132681640429384515e+02
1.653254875698323634e+00,6.007085882183434933e+02
1.651593038077814768e+00,5.798415163681452213e+02
1.649449456145251292e+00,5.539319903711198094e+02
1.648866431707080915e+00,5.464148686933517638e+02
1.646261957978505386e+00,5.129882210185585336e+02
1.645644036592178505e+00,5.046973998625314834e+02
1.643902235865853712e+00,4.795615733437653034e+02
1.641912806904498812e+00,4.461349256689720733e+02
1.641838617039105941e+00,4.446869213267171403e+02
1.640282771418455354e+00,4.127082779941786157e+02
1.639051982833966470e+00,3.792816303193853855e+02
1.638175797828720359e+00,3.458549826445921553e+02
1.638033197486033377e+00,3.378579985646407522e+02
1.637571558618056811e+00,3.124283349697988115e+02
1.637241661424873929e+00,2.790016872950054676e+02
1.637190236813246713e+00,2.455750396202122374e+02
1.637450043464153238e+00,2.121483919454189220e+02
1.638033197486033377e+00,1.823103177294771058e+02
1.638098287318453528e+00,1.787217442706256634e+02
1.639180654782965263e+00,1.452950965958323195e+02
1.640968001045723934e+00,1.118684489210390751e+02
1.641838617039105941e+00,1.007128250147827941e+02
1.643637448450472327e+00,7.844180124624574546e+01
1.645644036592178505e+00,6.047890432595725940e+01
1.647538984407981300e+00,4.501515357145240159e+01
1.649449456145251514e+00,3.249421464255154035e+01
1.653169997002907454e+00,1.158850589665917141e+01
1.653254875698323856e+00,1.116538794865100037e+01
1.657060295251396420e+00,0.000000000000000000e+00
1.660865714804469206e+00,0.000000000000000000e+00
1.661396023905669983e+00,0.000000000000000000e+00
1.664671134357541771e+00,0.000000000000000000e+00
1.668476553910614335e+00,0.000000000000000000e+00
1.672281973463686899e+00,0.000000000000000000e+00
1.674869750194234452e+00,0.000000000000000000e+00
1.676087393016759908e+00,0.000000000000000000e+00
1.679892812569832250e+00,0.000000000000000000e+00
1.683698232122904814e+00,0.000000000000000000e+00
1.687503651675977601e+00,0.000000000000000000e+00
1.691309071229050165e+00,0.000000000000000000e+00
1.695114490782122729e+00,0.000000000000000000e+00
1.698919910335195294e+00,0.000000000000000000e+00
1.702725329888268080e+00,0.000000000000000000e+00
1.706530749441340644e+00,0.000000000000000000e+00
1.710336168994413208e+00,0.000000000000000000e+00
1.714141588547485995e+00,0.000000000000000000e+00
1.717947008100558559e+00,0.000000000000000000e+00
1.721752427653631123e+00,0.000000000000000000e+00
1.725557847206703688e+00,0.000000000000000000e+00
1.727876586510785240e+00,0.000000000000000000e+00
1.729363266759776252e+00,0.000000000000000000e+00
