M_sun,Lambda
1.442846559776536308e+00,0.000000000000000000e+00
1.446031167597765288e+00,0.000000000000000000e+00
1.449215775418994268e+00,0.000000000000000000e+00
1.452400383240223469e+00,0.000000000000000000e+00
1.455584991061452227e+00,0.000000000000000000e+00
1.458769598882681429e+00,0.000000000000000000e+00
1.461954206703910408e+00,0.000000000000000000e+00
1.465138814525139610e+00,0.000000000000000000e+00
1.468323422346368590e+00,0.000000000000000000e+00
1.471508030167598013e+00,0.000000000000000000e+00
1.474692637988826771e+00,0.000000000000000000e+00
1.477877245810055751e+00,0.000000000000000000e+00
1.481061853631284730e+00,0.000000000000000000e+00
1.484246461452514154e+00,0.000000000000000000e+00
1.487431069273743134e+00,0.000000000000000000e+00
1.490615677094971891e+00,0.000000000000000000e+00
1.493800284916201093e+00,0.000000000000000000e+00
1.496984892737430073e+00,0.000000000000000000e+00
1.500169500558659053e+00,0.000000000000000000e+00
1.503354108379888254e+00,0.000000000000000000e+00
1.506538716201117234e+00,0.000000000000000000e+00
1.509723324022345992e+00,0.000000000000000000e+00
1.512907931843575415e+00,0.000000000000000000e+00
1.516092539664804395e+00,0.000000000000000000e+00
1.519277147486033375e+00,0.000000000000000000e+00
1.522461755307262798e+00,0.000000000000000000e+00
1.525646363128491778e+00,0.000000000000000000e+00
1.528830970949720536e+00,0.000000000000000000e+00
1.532015578770949737e+00,0.000000000000000000e+00
1.535200186592178939e+00,0.000000000000000000e+00
1.538384794413407697e+00,0.000000000000000000e+00
1.540513532926632845e+00,0.000000000000000000e+00
1.541569402234636676e+00,0.000000000000000000e+00
1.544754010055865878e+00,0.000000000000000000e+00
1.547938617877094858e+00,0.000000000000000000e+00
1.551123225698324060e+00,0.000000000000000000e+00
1.554307833519553039e+00,0.000000000000000000e+00
1.557492441340782019e+00,0.000000000000000000e+00
1.560677049162010999e+00,0.000000000000000000e+00
1.563861656983240200e+00,0.000000000000000000e+00
1.567046264804469180e+00,0.000000000000000000e+00
1.570230872625698382e+00,0.000000000000000000e+00
1.573415480446927361e+00,0.000000000000000000e+00
1.576600088268156341e+00,0.000000000000000000e+00
1.579784696089385321e+00,0.000000000000000000e+00
1.582655299542498506e+00,0.000000000000000000e+00
1.582969303910614522e+00,0.000000000000000000e+00
1.586153911731843502e+00,0.000000000000000000e+00
1.589338519553072482e+00,0.000000000000000000e+00
1.592523127374301684e+00,0.000000000000000000e+00
1.595707735195530663e+00,0.000000000000000000e+00
1.598892343016759643e+00,2.922374307088161149e+00
1.602076950837988623e+00,7.161286047130147381e+00
1.605261558659217824e+00,1.228362408237844861e+01
1.608446166480446804e+00,1.780180435574473563e+01
1.611630774301675784e+00,2.368234961236994351e+01
1.613792494874208394e+00,2.783951863261728477e+01
1.614815382122904985e+00,3.038339279241939295e+01
1.617999989944133965e+00,3.850381320665168516e+01
1.621184597765362945e+00,4.715016372826468682e+01
1.621674111190991141e+00,4.851775121810442926e+01
1.624369205586592146e+00,6.031577451900575682e+01
1.626234288819539575e+00,6.919598380359155954e+01
1.627553813407820904e+00,8.424768067510993319e+01
1.628016535176390667e+00,8.987421638907875376e+01
1.627761953833059883e+00,1.105524489745658343e+02
1.627553813407821348e+00,1.129670375309100336e+02
1.626091509176022853e+00,1.312306815600530285e+02
1.624369205586592146e+00,1.444326575953798510e+02
1.623451101866000279e+00,1.519089141455402228e+02
1.621184597765362945e+00,1.660740677662004714e+02
1.620187621045557691e+00,1.725871467310273033e+02
1.617999989944133965e+00,1.846710230776337767e+02
1.616482283725305003e+00,1.932653793165144975e+02
1.614815382122904985e+00,2.016489523626065647e+02
1.612379042740006430e+00,2.139436119020015781e+02
1.611630774301676006e+00,2.173951512633480547e+02
1.608446166480446804e+00,2.318697122270238538e+02
1.607828895149772119e+00,2.346218444874887723e+02
1.605261558659217824e+00,2.452469022830302947e+02
1.602734808530106969e+00,2.553000770729759665e+02
1.602076950837988623e+00,2.577927120546651736e+02
1.598892343016759643e+00,2.693786551527070969e+02
1.596993628033641865e+00,2.759783096584630471e+02
1.595707735195530663e+00,2.803431731790047365e+02
1.592523127374301684e+00,2.906555846115335839e+02
1.590585624692404831e+00,2.966565422439502981e+02
1.589338519553072704e+00,3.005290733162157153e+02
1.586153911731843724e+00,3.099803188321509992e+02
1.583565888163189772e+00,3.173347748294373218e+02
1.582969303910614522e+00,3.190724139042400793e+02
1.579784696089385321e+00,3.279916949907737944e+02
1.576600088268156341e+00,3.365480058553176264e+02
1.576041968543232974e+00,3.380130074149244592e+02
1.573415480446927139e+00,3.451552703225033270e+02
1.570230872625698382e+00,3.535626540962070408e+02
1.568261290442174216e+00,3.586912400004117103e+02
1.567046264804469180e+00,3.620130737397432199e+02
1.563861656983240200e+00,3.706613758168613799e+02
1.560677049162010999e+00,3.792455236211414444e+02
1.560631775693313683e+00,3.793694725858987908e+02
1.557492441340782019e+00,3.884640789994259649e+02
1.554307833519553039e+00,3.975985823264365422e+02
1.553456936428276869e+00,4.000477051713859851e+02
1.551123225698324060e+00,4.072524574608256671e+02
1.547938617877094858e+00,4.168506757292848306e+02
1.546623382397112278e+00,4.207259377568730656e+02
1.544754010055865656e+00,4.267126264380083285e+02
1.541569402234636676e+00,4.364232796384970925e+02
1.539846691581303162e+00,4.414041703423602030e+02
1.538384794413407697e+00,4.460488198984283486e+02
1.535200186592178717e+00,4.554669777755866562e+02
1.532778618248812341e+00,4.620824029278475109e+02
1.532015578770949737e+00,4.643914321772012954e+02
1.528830970949720536e+00,4.732677269580404982e+02
1.525646363128491556e+00,4.813494216754096442e+02
1.525041573819814200e+00,4.827606355133345915e+02
1.522461755307262576e+00,4.894759609812519443e+02
1.519277147486033375e+00,4.970362872963176528e+02
1.516337023327349431e+00,5.034388680988216720e+02
1.516092539664804395e+00,5.040445324117989117e+02
1.512907931843575415e+00,5.112845663893657502e+02
1.509723324022346214e+00,5.180029165031478442e+02
1.506610796089248749e+00,5.241171006843087525e+02
1.506538716201117234e+00,5.242844156350125786e+02
1.503354108379888254e+00,5.312120506671628846e+02
1.500169500558659053e+00,5.378895301648034319e+02
1.496984892737430073e+00,5.443433108192236887e+02
1.496755757972516143e+00,5.447953332697959468e+02
1.493800284916201093e+00,5.521112095827622852e+02
1.490615677094971891e+00,5.599883985448907424e+02
1.488369100887900309e+00,5.654735658552831410e+02
1.487431069273743134e+00,5.684376845633494213e+02
1.484246461452513932e+00,5.784924184995215910e+02
1.481749210979740994e+00,5.861517984407703352e+02
1.481061853631284730e+00,5.888586481386914784e+02
1.477877245810055751e+00,6.010615370558508630e+02
1.476274463649221769e+00,6.068300310262575294e+02
1.474692637988826771e+00,6.135702679514864712e+02
1.471508030167597791e+00,6.261433126106066993e+02
1.471127764686472661e+00,6.275082636117447237e+02
1.468323422346368590e+00,6.378426603413739713e+02
1.465147207962757436e+00,6.481864961972315768e+02
1.465138814525139610e+00,6.482110010724206859e+02
1.461954206703910408e+00,6.565533502906760077e+02
1.458769598882681429e+00,6.637663087754082198e+02
1.456076083562786394e+00,6.688647287827188848e+02
1.455584991061452449e+00,6.696846665104625345e+02
1.452400383240223469e+00,6.741397195352463996e+02
1.449215775418994490e+00,6.776823295280421462e+02
1.446031167597765288e+00,6.803178256255527003e+02
1.442846559776536308e+00,6.821547227446212673e+02
1.439661951955307106e+00,6.834133464000674394e+02
1.436477344134078127e+00,6.843819402342588774e+02
1.433292736312849147e+00,6.853410718265942023e+02
1.430108128491619945e+00,6.865003778632343483e+02
1.426923520670390966e+00,6.879749605860602060e+02
1.424212401630686076e+00,6.895429613682060790e+02
1.423738912849161986e+00,6.898193420067086663e+02
1.420554305027933006e+00,6.921456726802687172e+02
1.417369697206704027e+00,6.947335065182808194e+02
1.414185089385474825e+00,6.974907798939368604e+02
1.411000481564245623e+00,7.003216383494921047e+02
1.407815873743016644e+00,7.031207551720500533e+02
1.404631265921787664e+00,7.057598107824426279e+02
1.401446658100558462e+00,7.080689037027584618e+02
1.398262050279329483e+00,7.098152746575422043e+02
1.396772951763864512e+00,7.102211939536932732e+02
1.395077442458100503e+00,7.107151312417394138e+02
1.391892834636871523e+00,7.102443216465150044e+02
1.391862287657455344e+00,7.102211939536932732e+02
1.388708226815642321e+00,7.079460998375561758e+02
1.385523618994413342e+00,7.030775571380058864e+02
1.382339011173184362e+00,6.947202100830020299e+02
1.381036608588587455e+00,6.895429613682060790e+02
1.379154403351955160e+00,6.814445454359897667e+02
1.377109118475933425e+00,6.688647287827188848e+02
1.375969795530726181e+00,6.608779602602365912e+02
1.374591042945722208e+00,6.481864961972316905e+02
1.372785187709496979e+00,6.296730375661277321e+02
1.372612028035808507e+00,6.275082636117447237e+02
1.370942339406755917e+00,6.068300310262575294e+02
1.369600579888268221e+00,5.911344476659842258e+02
1.369229838572224578e+00,5.861517984407703352e+02
1.367550293498827063e+00,5.654735658552831410e+02
1.366415972067039020e+00,5.521444384172843911e+02
1.365860829714917735e+00,5.447953332697959468e+02
1.364299105705210513e+00,5.241171006843087525e+02
1.363231364245810040e+00,5.090882149763651796e+02
1.362868023436229814e+00,5.034388680988216720e+02
1.361629254392500155e+00,4.827606355133345346e+02
1.360538292001311600e+00,4.620824029278473972e+02
1.360046756424580838e+00,4.516810035607417717e+02
1.359586997368219974e+00,4.414041703423603167e+02
1.358764823877970596e+00,4.207259377568730088e+02
1.358071231992533878e+00,4.000477051713859851e+02
1.357513634018908899e+00,3.793694725858987908e+02
1.357098123170151771e+00,3.586912400004117103e+02
1.356862148603351859e+00,3.410552695314694347e+02
1.356820241677532124e+00,3.380130074149245161e+02
1.356661148160378971e+00,3.173347748294373218e+02
1.356603453076437260e+00,2.966565422439502413e+02
1.356610846995563557e+00,2.759783096584630471e+02
1.356646523442196051e+00,2.553000770729759665e+02
1.356681383066537183e+00,2.346218444874887723e+02
1.356701083223652793e+00,2.139436119020015781e+02
1.356711367835996107e+00,1.932653793165144975e+02
1.356742213629046345e+00,1.725871467310273033e+02
1.356851127767709109e+00,1.519089141455402512e+02
1.356862148603351859e+00,1.510740882977554236e+02
1.357110516444396398e+00,1.312306815600530285e+02
1.357633368327614054e+00,1.105524489745658343e+02
1.358557651847858150e+00,8.987421638907875376e+01
1.360046756424580838e+00,6.936913902741238758e+01
1.360059622270327839e+00,6.919598380359155954e+01
1.362287646371548089e+00,4.851775121810442215e+01
1.363231364245810040e+00,4.210826994941409396e+01
1.365581135571322990e+00,2.783951863261728477e+01
1.366415972067039020e+00,2.375090861884184434e+01
1.369600579888267999e+00,1.035128155351537416e+01
1.370505651127266633e+00,7.161286047130147381e+00
1.372785187709497201e+00,0.000000000000000000e+00
1.375969795530726181e+00,0.000000000000000000e+00
1.378718086708117241e+00,0.000000000000000000e+00
1.379154403351955160e+00,0.000000000000000000e+00
1.382339011173184362e+00,0.000000000000000000e+00
1.385523618994413120e+00,0.000000000000000000e+00
1.388708226815642321e+00,0.000000000000000000e+00
1.391892834636871523e+00,0.000000000000000000e+00
1.395077442458100503e+00,0.000000000000000000e+00
1.398262050279329483e+00,0.000000000000000000e+00
1.401446658100558462e+00,0.000000000000000000e+00
1.404631265921787664e+00,0.000000000000000000e+00
1.407815873743016644e+00,0.000000000000000000e+00
1.411000481564245401e+00,0.000000000000000000e+00
1.414185089385474825e+00,0.000000000000000000e+00
1.417369697206703805e+00,0.000000000000000000e+00
1.420554305027932784e+00,0.000000000000000000e+00
