M_sun,Lambda
1.349880126536312730e+00,9.428980214103212347e+02
1.348862200170869219e+00,9.571028145383239689e+02
1.347583171787709588e+00,9.744322955601415970e+02
1.346486509132994946e+00,9.857987278527373292e+02
1.345286217039106003e+00,9.981705996082116599e+02
1.343124161770994140e+00,1.014494641167150689e+03
1.342989262290502861e+00,1.015521202782231967e+03
1.340692307541899719e+00,1.027384795068959193e+03
1.338395352793296134e+00,1.034501234746677255e+03
1.336098398044692770e+00,1.037635747923292911e+03
1.333801443296089406e+00,1.037603762998066713e+03
1.331504488547486043e+00,1.035255565618385845e+03
1.329207533798882679e+00,1.031430331768057613e+03
1.326910579050279315e+00,1.026894471955813060e+03
1.324613624301675952e+00,1.022282546665860536e+03
1.322316669553072810e+00,1.018056799792958145e+03
1.320019714804469224e+00,1.014494641167150689e+03
1.317722760055865860e+00,1.011490317194625845e+03
1.315425805307262497e+00,1.009272057578617819e+03
1.313128850558658911e+00,1.007759183041874167e+03
1.310831895810055769e+00,1.006831709767127450e+03
1.308534941061452628e+00,1.006380839310265173e+03
1.306237986312849042e+00,1.006345298956193574e+03
1.303941031564245900e+00,1.006725943501625807e+03
1.301644076815642315e+00,1.007575768638020577e+03
1.299347122067039173e+00,1.008968629104244201e+03
1.297050167318435809e+00,1.010956778118958823e+03
1.294753212569832446e+00,1.013532117039912464e+03
1.294049618508925636e+00,1.014494641167150803e+03
1.292456257821229082e+00,1.016469368299447751e+03
1.290159303072625718e+00,1.019642285955442844e+03
1.287862348324022355e+00,1.022895730201279775e+03
1.285565393575418991e+00,1.025996546535165180e+03
1.283268438826815627e+00,1.028719571354965638e+03
1.280971484078212264e+00,1.030861496182605151e+03
1.278674529329608900e+00,1.032244306363814303e+03
1.276377574581005536e+00,1.032711972229908042e+03
1.274080619832402173e+00,1.032123998129303345e+03
1.271783665083798809e+00,1.030347994831354526e+03
1.269486710335195445e+00,1.027251857445923179e+03
1.267189755586592081e+00,1.022695001550750931e+03
1.264892800837988940e+00,1.016517614039665659e+03
1.264292445404748388e+00,1.014494641167150576e+03
1.262595846089385354e+00,1.008004237876714342e+03
1.260298891340782212e+00,9.970815021542173326e+02
1.258354719339999317e+00,9.857987278527374428e+02
1.258001936592178627e+00,9.834589267879919134e+02
1.255704981843575485e+00,9.662477409158985893e+02
1.254611980220993628e+00,9.571028145383239689e+02
1.253408027094972121e+00,9.471766411644989603e+02
1.251194211982497695e+00,9.284069012239104950e+02
1.251111072346368758e+00,9.278323131624443931e+02
1.248814117597765394e+00,9.126498710114672122e+02
1.246669514745592400e+00,8.997109879094972484e+02
1.246517162849162030e+00,8.990448663182135078e+02
1.244220208100558667e+00,8.900528407026104105e+02
