Mchirp_Msun,LambdaTilde
1.466503614638009267e+00,6.012340311002004682e+02
1.466416239957571088e+00,6.064215670303734669e+02
1.465982169511803823e+00,6.304050458462595543e+02
1.465846591718017677e+00,6.371807232288819023e+02
1.465375939557082008e+00,6.595760605923188677e+02
1.465276943478464711e+00,6.641778638868737517e+02
1.464749678047297721e+00,6.887470753383780675e+02
1.464707295238911300e+00,6.908271599037232136e+02
1.464184797106514724e+00,7.179180900844372673e+02
1.464137646999357889e+00,7.206605663330502693e+02
1.463719730106940675e+00,7.470891048304964670e+02
1.463567998759804478e+00,7.583504439849954224e+02
1.463345747207075220e+00,7.762601195765556668e+02
1.463042026029347964e+00,8.054311343226148665e+02
1.462998350520251289e+00,8.104046645047657194e+02
1.462795063087124925e+00,8.346021490686740663e+02
1.462577423142614519e+00,8.637731638147332660e+02
1.462428702280698101e+00,8.853589939666262580e+02
1.462375778607162502e+00,8.929441785607924658e+02
1.462185861007205379e+00,9.221151933068516655e+02
1.462006340300740614e+00,9.512862080529108653e+02
1.461859054041144912e+00,9.773429012244210980e+02
1.461840773103319835e+00,9.804572227989700650e+02
1.461686884008028597e+00,1.009628237545029265e+03
1.461530244909573728e+00,1.038799252291088123e+03
1.461344184287469927e+00,1.067970267037147551e+03
1.461289405801591501e+00,1.074816257340763741e+03
1.461102745120994584e+00,1.097141281783206523e+03
1.460790919063210902e+00,1.126312296529265950e+03
1.460719757562038312e+00,1.132117362042783043e+03
1.460434431612623873e+00,1.155483311275324922e+03
1.460150109322485124e+00,1.178866758863889345e+03
1.460083427956549551e+00,1.184654326021384350e+03
1.459799601943554626e+00,1.213825340767443322e+03
1.459581927567712878e+00,1.242996355513502749e+03
1.459580461082931713e+00,1.243245806806267865e+03
1.459422754650271825e+00,1.272167370259561721e+03
1.459275547615889845e+00,1.301338385005621149e+03
1.459107607992204958e+00,1.330509399751680121e+03
1.459010812843378524e+00,1.344176497645238896e+03
1.458893000819216024e+00,1.359680414497739548e+03
1.458601415197155360e+00,1.388851429243798520e+03
1.458441164603825113e+00,1.401489348027391088e+03
1.458190069443459969e+00,1.418022443989857948e+03
1.457871516364271924e+00,1.435171745650244247e+03
1.457593491598581537e+00,1.447193458735916920e+03
1.457301868124718514e+00,1.458470063259562039e+03
1.456732219885165325e+00,1.476364473481975892e+03
1.456732219885165325e+00,1.476364473481975892e+03
1.456162571645612136e+00,1.492261117995228233e+03
1.455631640004328098e+00,1.505535488228035319e+03
1.455592923406058947e+00,1.506559594242062985e+03
1.455023275166505536e+00,1.521610065256221105e+03
1.454511596262122897e+00,1.534706502974094292e+03
1.454453626926952126e+00,1.536327913801552086e+03
1.453883978687398937e+00,1.552173566911044645e+03
1.453431703227305638e+00,1.563877517720153719e+03
1.453314330447845526e+00,1.567101803054332549e+03
