R_km,M_sun
1.141799213429480275e+01,1.171464621933689276e+00
1.142723565778560157e+01,1.171744815352641300e+00
1.148271615763771081e+01,1.173328408885408347e+00
1.154744018098061886e+01,1.176611209281737791e+00
1.161216420432352692e+01,1.180618438522158753e+00
1.167688822766643320e+01,1.185049242294607952e+00
1.173917687150774114e+01,1.189492061691676206e+00
1.174161225100934125e+01,1.189664594078422732e+00
1.180633627435224753e+01,1.194120064792560498e+00
1.186961758965976443e+01,1.198365684861193659e+00
1.187106029769515558e+01,1.198464224057396166e+00
1.193578432103806364e+01,1.202634173138070750e+00
1.200050834438097169e+01,1.206705171415714428e+00
1.200824149806359742e+01,1.207239308030711111e+00
1.206523236772387797e+01,1.211109742884576290e+00
1.212995639106678425e+01,1.215699146631427974e+00
1.213503320220286774e+01,1.216112931200228786e+00
1.219468041440969230e+01,1.220807399514763691e+00
1.224388687438032441e+01,1.224986554369746017e+00
1.225940443775260036e+01,1.226259178876522693e+00
1.232412846109550841e+01,1.231995582695430524e+00
1.234365566501575096e+01,1.233860177539263692e+00
1.238885248443841647e+01,1.238019772284835618e+00
1.243672647416408594e+01,1.242733800708781144e+00
1.245357650778132275e+01,1.244329268962132140e+00
1.251830053112423080e+01,1.250738071882639968e+00
1.252683734024364526e+01,1.251607423878298597e+00
1.258302455446713708e+01,1.257072015022445921e+00
1.261632091247561682e+01,1.260481047047816050e+00
1.264774857781004513e+01,1.263544297952840401e+00
1.270460565612153303e+01,1.269354670217333503e+00
1.271247260115295319e+01,1.270120426364268917e+00
1.277719662449585947e+01,1.276512507341667657e+00
1.279370271650262048e+01,1.278228293386851178e+00
1.284192064783876752e+01,1.282946366574112540e+00
1.288158883533039756e+01,1.287101916556368630e+00
1.290664467118167558e+01,1.289590423982102330e+00
1.296666758070758085e+01,1.295975539725886083e+00
1.297136869452458185e+01,1.296454145871173580e+00
1.303609271786748991e+01,1.303335325894886321e+00
1.304953660527637993e+01,1.304849162895403758e+00
1.310081674121039796e+01,1.310450506205505627e+00
1.312900686744140977e+01,1.313722786064920989e+00
1.316554076455330602e+01,1.317887374318420290e+00
1.320468348493273325e+01,1.322596409234438664e+00
1.323026478789621407e+01,1.325653124449910347e+00
1.327679369675438714e+01,1.331470032403955894e+00
1.329498881123912035e+01,1.333752513507074910e+00
1.334574367765551983e+01,1.340343655573473569e+00
1.335971283458202663e+01,1.342180356228378502e+00
1.341205835541943436e+01,1.349217278742991244e+00
1.342443685792493469e+01,1.350915158308451103e+00
1.347631592202239581e+01,1.358090901912508475e+00
1.348916088126784274e+01,1.359915326732053176e+00
1.353910055734668560e+01,1.366964525082025927e+00
1.355388490461075079e+01,1.369118629622011696e+00
1.360098099544577721e+01,1.375838148251543380e+00
1.361860892795365885e+01,1.378445489427454484e+00
1.366250684095909307e+01,1.384711771421061055e+00
1.368333295129656513e+01,1.387806340108707071e+00
1.372420964905928464e+01,1.393585394590578286e+00
1.374805697463947141e+01,1.397111625015174052e+00
1.378660209394238123e+01,1.402459017760095961e+00
1.381278099798237946e+01,1.406280950873737279e+00
1.385017789229195984e+01,1.411332640929613413e+00
1.387750502132528752e+01,1.415247941755794603e+00
1.391541618487692311e+01,1.420206264099130866e+00
1.394222904466819557e+01,1.423960450040886005e+00
1.398277933653515603e+01,1.429079887268648541e+00
1.400695306801110185e+01,1.432379804949576840e+00
1.405266438635146997e+01,1.437953510438165772e+00
1.407167709135400990e+01,1.440484581790326901e+00
1.412524102237895818e+01,1.446827133607683447e+00
1.413640111469691618e+01,1.448282572573822868e+00
1.420012408378666535e+01,1.455700756777200899e+00
1.420112513803982424e+01,1.455830100135446559e+00
1.426584916138273229e+01,1.463629403402936013e+00
1.427378558396331876e+01,1.464574379946718352e+00
1.433057318472564035e+01,1.471664891600598990e+00
1.434486224617685579e+01,1.473448003116235583e+00
1.439529720806854662e+01,1.480088721940324925e+00
1.441207450573987892e+01,1.482321626285753258e+00
1.446002123141145468e+01,1.489103469078903119e+00
1.447456724702923836e+01,1.491195249455270933e+00
1.452474525475436096e+01,1.498925143455559938e+00
1.453205232647150247e+01,1.500068872624788163e+00
1.458190229782919722e+01,1.508942495794305838e+00
1.458946927809726901e+01,1.510652828342114340e+00
1.462078025004649717e+01,1.517816118963823291e+00
1.465399098030176717e+01,1.526689742133340744e+00
1.465419330144017707e+01,1.526803151219673360e+00
1.466999062381525221e+01,1.535563365302858418e+00
1.468986803820202525e+01,1.544436988472375649e+00
1.471122798334147852e+01,1.553310611641893324e+00
1.471891732478308512e+01,1.555884974391365194e+00
1.474013970808453955e+01,1.562184234811410777e+00
1.476671166815482472e+01,1.571057857980928230e+00
1.478364134812599318e+01,1.577664804066930770e+00
1.479036235133814436e+01,1.579931481150445682e+00
1.480796082145404569e+01,1.588805104319963135e+00
1.481460606848091643e+01,1.597678727489480810e+00
1.481367454469037348e+01,1.606552350658998041e+00
1.482161721899561080e+01,1.615425973828515716e+00
1.484295328437485750e+01,1.624299596998033390e+00
1.484836537146889768e+01,1.625754914562253184e+00
1.487651696545286839e+01,1.633173220167550621e+00
1.491033683026646628e+01,1.642046843337068296e+00
1.491308939481180573e+01,1.642737324411765121e+00
1.494687038626301323e+01,1.650920466506585527e+00
1.497781341815471379e+01,1.659248074210512014e+00
1.497994992628342636e+01,1.659794089676103201e+00
1.501035121252158788e+01,1.668667712845620654e+00
1.503681146577734040e+01,1.677541336015138107e+00
1.504253744149762184e+01,1.680359457841467119e+00
1.505522371041020158e+01,1.686414959184655560e+00
1.505891401878851887e+01,1.695288582354173013e+00
1.504253744149762184e+01,1.702820459710240986e+00
1.503787676938977036e+01,1.704162205523690687e+00
1.498183209365267388e+01,1.713035828693207918e+00
1.497781341815471556e+01,1.713372589543534330e+00
1.491308939481180573e+01,1.714430873434278357e+00
1.487457638742679578e+01,1.713035828693207918e+00
1.484836537146889768e+01,1.712148262110427144e+00
1.478364134812599140e+01,1.708495041651236335e+00
1.471891732478308512e+01,1.704373485887062500e+00
1.471578409403829646e+01,1.704162205523690909e+00
1.465419330144017707e+01,1.700198775423171993e+00
1.458946927809727079e+01,1.696022815927078931e+00
1.457778699593445459e+01,1.695288582354173013e+00
1.452474525475436096e+01,1.692167095754968820e+00
1.446002123141145468e+01,1.688138375523487777e+00
1.443546003418815715e+01,1.686414959184655560e+00
1.439529720806854840e+01,1.683840111449422583e+00
1.433057318472564035e+01,1.678917188881581701e+00
1.431522303980920086e+01,1.677541336015138107e+00
1.426584916138273229e+01,1.673457894762925502e+00
1.421459608821164089e+01,1.668667712845620654e+00
1.420112513803982424e+01,1.667483381366449580e+00
1.413640111469691618e+01,1.661124780477929663e+00
1.412380047060334398e+01,1.659794089676103424e+00
1.407167709135400813e+01,1.654478468737670127e+00
1.403814104474312430e+01,1.650920466506585527e+00
1.400695306801110185e+01,1.647665881048840264e+00
1.395441012060433295e+01,1.642046843337068296e+00
1.394222904466819557e+01,1.640745891204863360e+00
1.387750502132528752e+01,1.633677271582362422e+00
1.387305174561533150e+01,1.633173220167550621e+00
1.381278099798237946e+01,1.626351821455634505e+00
1.379492916809994441e+01,1.624299596998033168e+00
1.374805697463947141e+01,1.618892383456497885e+00
1.371845200331399894e+01,1.615425973828515716e+00
1.368333295129656513e+01,1.611308397048756946e+00
1.364334612403594171e+01,1.606552350658998041e+00
1.361860892795365707e+01,1.603624841585449046e+00
1.356903172507425381e+01,1.597678727489480810e+00
1.355388490461075079e+01,1.595885259393355682e+00
1.349480443172873656e+01,1.588805104319963135e+00
1.348916088126784274e+01,1.588141536489277250e+00
1.342443685792493469e+01,1.580399827075689601e+00
1.342060590849169976e+01,1.579931481150445682e+00
1.335971283458202663e+01,1.572656082012951595e+00
1.334654514747662901e+01,1.571057857980928230e+00
1.329498881123911858e+01,1.564931151548313082e+00
1.327227782939629463e+01,1.562184234811410777e+00
1.323026478789621052e+01,1.557179814542275498e+00
1.319837160872235771e+01,1.553310611641893324e+00
1.316554076455330602e+01,1.549352677622724439e+00
1.312543219262684957e+01,1.544436988472375649e+00
1.310081674121039796e+01,1.541405881196353356e+00
1.305392103838841322e+01,1.535563365302858418e+00
1.303609271786748991e+01,1.533304382726988324e+00
1.298411929143669497e+01,1.526689742133340744e+00
1.297136869452458185e+01,1.525017962809666283e+00
1.291622610935363547e+01,1.517816118963823291e+00
1.290664467118167558e+01,1.516509642473094166e+00
1.285050595013068886e+01,1.508942495794305838e+00
1.284192064783876930e+01,1.507717863469397734e+00
1.278738495315985269e+01,1.500068872624788163e+00
1.277719662449586124e+01,1.498537045031804738e+00
1.272742145347727494e+01,1.491195249455270933e+00
1.271247260115295319e+01,1.488806234494176817e+00
1.267113422677804557e+01,1.482321626285753258e+00
1.264774857781004513e+01,1.478323453554716949e+00
1.261875973528503181e+01,1.473448003116235805e+00
1.258302455446713708e+01,1.466910657714843191e+00
1.257007188305013479e+01,1.464574379946718352e+00
1.252387063480228946e+01,1.455700756777201121e+00
1.251830053112423080e+01,1.454660346645306523e+00
1.247742698953881835e+01,1.446827133607683447e+00
1.245357650778132275e+01,1.442392554286792361e+00
1.243022791995757714e+01,1.437953510438165772e+00
1.238885248443841824e+01,1.430427159822799332e+00
1.238155620879674146e+01,1.429079887268648541e+00
1.233022865227782461e+01,1.420206264099130866e+00
1.232412846109550841e+01,1.419214765715014259e+00
1.227617092702666213e+01,1.411332640929613413e+00
