M_sun,Lambda
1.395077442458100503e+00,0.000000000000000000e+00
1.398262050279329483e+00,0.000000000000000000e+00
1.401446658100558462e+00,0.000000000000000000e+00
1.404631265921787664e+00,0.000000000000000000e+00
1.407815873743016644e+00,0.000000000000000000e+00
1.411000481564245623e+00,0.000000000000000000e+00
1.414185089385475047e+00,0.000000000000000000e+00
1.417369697206703805e+00,0.000000000000000000e+00
1.420554305027932562e+00,0.000000000000000000e+00
1.423738912849161986e+00,0.000000000000000000e+00
1.426923520670390966e+00,0.000000000000000000e+00
1.430108128491619945e+00,0.000000000000000000e+00
1.433292736312849147e+00,0.000000000000000000e+00
1.436477344134078127e+00,0.000000000000000000e+00
1.439661951955307106e+00,0.000000000000000000e+00
1.442846559776536308e+00,0.000000000000000000e+00
1.446031167597765288e+00,0.000000000000000000e+00
1.449215775418994490e+00,0.000000000000000000e+00
1.452400383240223469e+00,0.000000000000000000e+00
1.455584991061452671e+00,0.000000000000000000e+00
1.458769598882681429e+00,0.000000000000000000e+00
1.461954206703910630e+00,0.000000000000000000e+00
1.465138814525139610e+00,0.000000000000000000e+00
1.468323422346368368e+00,0.000000000000000000e+00
1.471508030167597791e+00,0.000000000000000000e+00
1.474692637988826771e+00,0.000000000000000000e+00
1.477877245810055751e+00,0.000000000000000000e+00
1.481061853631284730e+00,0.000000000000000000e+00
1.484246461452513932e+00,0.000000000000000000e+00
1.487431069273742912e+00,0.000000000000000000e+00
1.490615677094971891e+00,0.000000000000000000e+00
1.493800284916201315e+00,0.000000000000000000e+00
1.496984892737430073e+00,0.000000000000000000e+00
1.500169500558659053e+00,0.000000000000000000e+00
1.503354108379888476e+00,0.000000000000000000e+00
1.506538716201117234e+00,0.000000000000000000e+00
1.509723324022346214e+00,0.000000000000000000e+00
1.512907931843575415e+00,0.000000000000000000e+00
1.516092539664804395e+00,0.000000000000000000e+00
1.519277147486033375e+00,0.000000000000000000e+00
1.522461755307262576e+00,0.000000000000000000e+00
1.525646363128491556e+00,0.000000000000000000e+00
1.528830970949720536e+00,0.000000000000000000e+00
1.532015578770949737e+00,0.000000000000000000e+00
1.535200186592178717e+00,0.000000000000000000e+00
1.538384794413407697e+00,0.000000000000000000e+00
1.541569402234636676e+00,0.000000000000000000e+00
1.544754010055865878e+00,0.000000000000000000e+00
1.547938617877094636e+00,0.000000000000000000e+00
1.551123225698324060e+00,0.000000000000000000e+00
1.554307833519553039e+00,0.000000000000000000e+00
1.557492441340782019e+00,0.000000000000000000e+00
