M_sun,Lambda
1.847128710796330564e+00,1.114667879164837814e+03
1.843525853351955179e+00,1.131654740611859779e+03
1.840507942471059755e+00,1.148094526839631044e+03
1.839720433798882393e+00,1.152467178020471920e+03
1.835915014245809829e+00,1.177348035106010684e+03
1.835347681431267031e+00,1.181521174514424501e+03
1.832109594692737264e+00,1.204783311443319235e+03
1.830786859917988840e+00,1.214947822189217732e+03
1.828304175139664700e+00,1.233047066965243630e+03
1.826272733655389224e+00,1.248374469864011189e+03
1.824498755586592136e+00,1.261057418376765099e+03
1.821619509365052458e+00,1.281801117538804419e+03
1.820693336033519127e+00,1.288295199751967175e+03
1.816887916480446785e+00,1.314719544785916241e+03
1.816813589140475305e+00,1.315227765213597650e+03
1.813082496927374221e+00,1.341492037470614832e+03
1.812026406320931038e+00,1.348654412888390880e+03
1.809277077374301435e+00,1.369065454947945000e+03
1.807462801192958324e+00,1.382081060563184337e+03
1.805471657821228870e+00,1.398855287243874500e+03
1.803448952138049233e+00,1.415507708237977340e+03
1.801666238268156306e+00,1.433945820101108893e+03
1.800206093784710859e+00,1.448934355912770798e+03
1.797860818715083742e+00,1.480296924605668664e+03
1.797707030589505095e+00,1.482361003587564255e+03
1.795741073882691996e+00,1.515787651262357258e+03
1.794055399162010955e+00,1.547226213450298928e+03
1.793948023056195051e+00,1.549214298937150716e+03
1.792118793647239583e+00,1.582640946611943946e+03
1.790249979608938391e+00,1.613091838147372073e+03
1.790063405926857198e+00,1.616067594286737176e+03
1.787904099267060065e+00,1.649494241961530861e+03
1.786444560055865605e+00,1.672522121738312535e+03
1.785815970742608894e+00,1.682920889636323409e+03
1.784157394022530152e+00,1.716347537311116866e+03
1.782963133414868562e+00,1.749774184985910551e+03
1.782639140502793040e+00,1.764192205598424607e+03
1.782279293029963796e+00,1.783200832660703554e+03
1.781981495520580161e+00,1.816627480335497239e+03
1.781954219717834187e+00,1.850054128010290469e+03
1.782109977000005951e+00,1.883480775685083472e+03
1.782278013122031712e+00,1.916907423359876930e+03
1.782163124392776243e+00,1.950334071034670387e+03
1.781405640182570416e+00,1.983760718709463617e+03
1.779714159906607751e+00,2.017187366384256620e+03
1.778833720949720476e+00,2.027861327491940074e+03
1.776625934828303111e+00,2.050614014059050533e+03
1.775028301396647912e+00,2.062534618078355834e+03
1.771346392877974685e+00,2.084040661733843081e+03
1.771222881843575347e+00,2.084642454026604810e+03
1.767417462290502561e+00,2.098251113859460474e+03
1.763612042737429997e+00,2.107357044626526658e+03
1.759806623184357433e+00,2.112520754268627115e+03
1.756001203631284646e+00,2.114685489238619084e+03
1.752195784078212082e+00,2.115260668191235254e+03
1.748390364525139518e+00,2.115906107143028748e+03
1.745745888838939663e+00,2.117467309408636538e+03
1.744584944972067175e+00,2.118289025198253967e+03
1.740779525418994167e+00,2.124518963632942814e+03
1.736974105865921603e+00,2.135136054452329063e+03
1.733168686312849038e+00,2.150013958300867216e+03
1.732991823381944130e+00,2.150893957083429996e+03
1.729363266759776252e+00,2.172760733149755197e+03
1.727631353125900882e+00,2.184320604758223453e+03
1.725557847206703688e+00,2.199239627900483356e+03
1.722943602557469145e+00,2.217747252433016911e+03
1.721752427653631123e+00,2.225691549352933635e+03
1.717947008100558559e+00,2.248337254883490004e+03
1.717394665314127877e+00,2.251173900107809459e+03
1.714141588547485773e+00,2.266165573218384907e+03
1.710336168994413208e+00,2.280027481295241159e+03
1.708773291339400924e+00,2.284600547782602916e+03
1.706530749441340644e+00,2.291034948378372064e+03
1.702725329888267858e+00,2.299977661463454751e+03
1.698919910335195294e+00,2.307060889686412338e+03
1.695114490782122729e+00,2.312369674171401130e+03
1.691309071229050165e+00,2.315609512504574923e+03
1.687503651675977601e+00,2.315677876322994507e+03
1.683698232122904814e+00,2.309018423348619763e+03
1.680245558245308635e+00,2.284600547782602916e+03
1.679892812569832250e+00,2.282166613329000938e+03
1.677344501821806944e+00,2.251173900107809459e+03
1.676087393016759686e+00,2.237538821777351586e+03
1.674711513979120880e+00,2.217747252433016911e+03
1.672281973463686899e+00,2.188536540179735766e+03
1.671967267066170049e+00,2.184320604758223453e+03
1.668848649076567936e+00,2.150893957083429996e+03
1.668476553910614335e+00,2.147490206564296841e+03
1.664982169341683971e+00,2.117467309408636538e+03
1.664671134357541771e+00,2.115139199152893525e+03
1.660865714804469206e+00,2.089582371926149790e+03
1.659952660105182609e+00,2.084040661733843081e+03
1.657060295251396642e+00,2.067201822252085094e+03
1.654181527990244982e+00,2.050614014059050533e+03
1.653254875698324078e+00,2.044776322588374114e+03
1.649449456145251292e+00,2.018168071624028471e+03
1.649326015823681102e+00,2.017187366384256848e+03
1.646123915277355465e+00,1.983760718709463390e+03
1.645644036592178505e+00,1.976629506598332682e+03
1.644114065043848161e+00,1.950334071034670615e+03
1.642781476652397155e+00,1.916907423359876702e+03
1.641838617039105941e+00,1.884220358185113810e+03
1.641818571550818673e+00,1.883480775685083472e+03
1.641059447392202664e+00,1.850054128010290469e+03
1.640493306483310043e+00,1.816627480335497012e+03
1.640142607080725679e+00,1.783200832660703782e+03
1.640030059868379464e+00,1.749774184985910324e+03
1.640149609328343860e+00,1.716347537311117094e+03
1.640456076903030080e+00,1.682920889636323636e+03
1.640868180079750438e+00,1.649494241961530633e+03
1.641281704943951647e+00,1.616067594286736949e+03
1.641591065868609700e+00,1.582640946611944173e+03
1.641714444210717216e+00,1.549214298937150716e+03
1.641611141458768630e+00,1.515787651262357258e+03
1.641276880461623788e+00,1.482361003587564255e+03
1.640714933259558972e+00,1.448934355912770798e+03
1.639904451712983935e+00,1.415507708237977340e+03
1.638796306943956393e+00,1.382081060563184337e+03
1.638033197486033377e+00,1.364904273624028065e+03
1.637282972219638033e+00,1.348654412888390880e+03
1.635361763241650168e+00,1.315227765213597650e+03
1.634227777932960812e+00,1.297835989469420838e+03
1.633162606413269602e+00,1.281801117538804192e+03
1.630906152786249841e+00,1.248374469864010962e+03
1.630422358379888026e+00,1.240881041579435077e+03
1.628736627150112692e+00,1.214947822189217732e+03
1.626890062457963637e+00,1.181521174514424501e+03
1.626616938826815462e+00,1.175776151794000725e+03
1.625265843784422959e+00,1.148094526839631044e+03
1.623981693489666034e+00,1.114667879164837814e+03
1.623020422029583187e+00,1.081241231490044584e+03
1.622811519273742897e+00,1.071649355460111110e+03
1.622256226860486539e+00,1.047814583815251353e+03
1.621707181841317569e+00,1.014387936140457896e+03
1.621336646231823941e+00,9.809612884656646656e+02
1.621065182565377016e+00,9.475346407908714355e+02
1.620806108876394314e+00,9.141079931160782053e+02
1.620474377251418296e+00,8.806813454412847477e+02
1.620001537987377560e+00,8.472546977664915175e+02
1.619353296820805976e+00,8.138280500916982874e+02
1.619006099720670111e+00,7.999837062316253196e+02
1.618422952779915658e+00,7.804014024169048298e+02
1.617272891885634944e+00,7.469747547421115996e+02
1.616077565834299179e+00,7.135481070673183694e+02
1.615200680167597547e+00,6.890805158983021101e+02
1.614834341524723715e+00,6.801214593925251393e+02
1.613476845027571827e+00,6.466948117177316817e+02
1.612269006500540058e+00,6.132681640429384515e+02
1.611395260614524982e+00,5.854993340740559233e+02
1.611190283515858912e+00,5.798415163681452213e+02
1.610109987830928624e+00,5.464148686933517638e+02
1.609264106664126448e+00,5.129882210185585336e+02
1.608636083967559305e+00,4.795615733437653034e+02
1.608200807032261537e+00,4.461349256689720733e+02
1.607928800871176067e+00,4.127082779941786157e+02
1.607788530370665825e+00,3.792816303193853855e+02
1.607747024688783055e+00,3.458549826445921553e+02
1.607771509415756750e+00,3.124283349697988115e+02
1.607835425965082443e+00,2.790016872950054676e+02
1.607929995965893255e+00,2.455750396202122374e+02
1.608077869363972123e+00,2.121483919454188936e+02
1.608342431715016563e+00,1.787217442706256634e+02
1.608830259852734201e+00,1.452950965958323195e+02
1.609693893130638598e+00,1.118684489210390893e+02
1.611149802174218992e+00,7.844180124624574546e+01
1.611395260614524982e+00,7.441896989822069486e+01
1.613006738379384020e+00,4.501515357145240159e+01
1.615200680167597547e+00,1.845096120172193110e+01
1.615751736085510482e+00,1.158850589665917141e+01
1.619006099720670111e+00,0.000000000000000000e+00
1.619334179966252618e+00,0.000000000000000000e+00
1.622811519273742897e+00,0.000000000000000000e+00
1.623926460360343604e+00,0.000000000000000000e+00
1.626616938826815240e+00,0.000000000000000000e+00
1.630012516442426840e+00,0.000000000000000000e+00
1.630422358379888026e+00,0.000000000000000000e+00
1.634227777932960812e+00,0.000000000000000000e+00
1.638033197486033377e+00,0.000000000000000000e+00
1.641838617039105941e+00,0.000000000000000000e+00
1.645644036592178505e+00,0.000000000000000000e+00
1.649003273918209889e+00,0.000000000000000000e+00
1.649449456145251292e+00,0.000000000000000000e+00
1.653254875698323856e+00,0.000000000000000000e+00
1.657060295251396420e+00,0.000000000000000000e+00
1.660865714804469206e+00,0.000000000000000000e+00
1.664671134357541771e+00,0.000000000000000000e+00
1.665329622915695307e+00,0.000000000000000000e+00
1.668476553910614335e+00,0.000000000000000000e+00
1.672281973463686899e+00,0.000000000000000000e+00
1.676087393016759686e+00,0.000000000000000000e+00
1.679892812569832250e+00,0.000000000000000000e+00
1.683698232122905036e+00,0.000000000000000000e+00
1.687503651675977601e+00,0.000000000000000000e+00
1.691309071229050165e+00,0.000000000000000000e+00
1.695114490782122729e+00,0.000000000000000000e+00
1.698919910335195294e+00,0.000000000000000000e+00
1.702725329888268080e+00,0.000000000000000000e+00
1.706530749441340644e+00,0.000000000000000000e+00
1.708122710619329521e+00,0.000000000000000000e+00
1.710336168994413208e+00,0.000000000000000000e+00
