M_sun,Lambda
1.244220208100558667e+00,0.000000000000000000e+00
1.246517162849162030e+00,0.000000000000000000e+00
1.248814117597765172e+00,0.000000000000000000e+00
1.251111072346368758e+00,0.000000000000000000e+00
1.253408027094972343e+00,0.000000000000000000e+00
1.255704981843575707e+00,0.000000000000000000e+00
1.258001936592178627e+00,0.000000000000000000e+00
1.260298891340782212e+00,0.000000000000000000e+00
1.262595846089385354e+00,0.000000000000000000e+00
1.264892800837988940e+00,0.000000000000000000e+00
1.267189755586592081e+00,0.000000000000000000e+00
1.269486710335195445e+00,0.000000000000000000e+00
1.271783665083798809e+00,0.000000000000000000e+00
1.272073208690955859e+00,0.000000000000000000e+00
1.274080619832402173e+00,0.000000000000000000e+00
1.276377574581005536e+00,0.000000000000000000e+00
1.278674529329608900e+00,0.000000000000000000e+00
1.280971484078212264e+00,0.000000000000000000e+00
1.283268438826815627e+00,0.000000000000000000e+00
1.285565393575418991e+00,0.000000000000000000e+00
1.287862348324022355e+00,0.000000000000000000e+00
1.290159303072625718e+00,0.000000000000000000e+00
1.292456257821229082e+00,0.000000000000000000e+00
1.294753212569832446e+00,0.000000000000000000e+00
1.297050167318435809e+00,0.000000000000000000e+00
1.299347122067039173e+00,0.000000000000000000e+00
1.301644076815642315e+00,0.000000000000000000e+00
1.303941031564245900e+00,0.000000000000000000e+00
1.306237986312849042e+00,0.000000000000000000e+00
1.308534941061452628e+00,0.000000000000000000e+00
1.310831895810055769e+00,0.000000000000000000e+00
1.313128850558659133e+00,0.000000000000000000e+00
1.315425805307262497e+00,0.000000000000000000e+00
1.317722760055865860e+00,0.000000000000000000e+00
1.320019714804469224e+00,0.000000000000000000e+00
1.322316669553072588e+00,0.000000000000000000e+00
1.323794437989057382e+00,0.000000000000000000e+00
1.324613624301675952e+00,0.000000000000000000e+00
1.326910579050279315e+00,0.000000000000000000e+00
1.329207533798882457e+00,0.000000000000000000e+00
1.331504488547486043e+00,0.000000000000000000e+00
1.333801443296089406e+00,0.000000000000000000e+00
1.336098398044692548e+00,0.000000000000000000e+00
1.338395352793296134e+00,0.000000000000000000e+00
1.338418007268577847e+00,0.000000000000000000e+00
1.340692307541899497e+00,0.000000000000000000e+00
1.342989262290502861e+00,0.000000000000000000e+00
1.345286217039106003e+00,0.000000000000000000e+00
1.347583171787709588e+00,0.000000000000000000e+00
1.349880126536312730e+00,0.000000000000000000e+00
1.352177081284916316e+00,0.000000000000000000e+00
1.354474036033519457e+00,0.000000000000000000e+00
1.356770990782122599e+00,0.000000000000000000e+00
1.359067945530726185e+00,0.000000000000000000e+00
1.360078909414357717e+00,0.000000000000000000e+00
1.361364900279329548e+00,0.000000000000000000e+00
1.363661855027932912e+00,0.000000000000000000e+00
1.365958809776536276e+00,0.000000000000000000e+00
1.367509404441132670e+00,0.000000000000000000e+00
1.368255764525139639e+00,0.000000000000000000e+00
1.370552719273743003e+00,0.000000000000000000e+00
1.372315795185428344e+00,0.000000000000000000e+00
1.372849674022346367e+00,0.000000000000000000e+00
1.375146628770949508e+00,0.000000000000000000e+00
1.375806661732714264e+00,0.000000000000000000e+00
1.377443583519553094e+00,0.000000000000000000e+00
1.378457148432520318e+00,0.000000000000000000e+00
1.379740538268156680e+00,0.000000000000000000e+00
1.380488465196595627e+00,0.000000000000000000e+00
1.382009440749058404e+00,1.013767516268160307e+01
1.382037493016759822e+00,1.081270813681435250e+01
1.383275442117703591e+00,3.883358847709496331e+01
1.384129897990470814e+00,6.752950179150832355e+01
1.384334447765363185e+00,7.728421506888318504e+01
1.384800111036960102e+00,9.622541510592179748e+01
1.385263025779441159e+00,1.249213284203351719e+02
1.385526485948994413e+00,1.536172417347486316e+02
1.385634235290883698e+00,1.823131550491619919e+02
1.385615473354206761e+00,2.110090683635753521e+02
1.385490553768362609e+00,2.397049816779888260e+02
1.385275064332909922e+00,2.684008949924021863e+02
1.384982954582120174e+00,2.970968083068156602e+02
1.384628819191149107e+00,3.257927216212290205e+02
1.384334447765363185e+00,3.471970072202431083e+02
1.384253212611481043e+00,3.544886349356423807e+02
1.383923443535862052e+00,3.831845482500558546e+02
1.383583494216572563e+00,4.118804615644692149e+02
1.383240204374838633e+00,4.405763748788825751e+02
1.382893181919509606e+00,4.692722881932960490e+02
1.382534833185477208e+00,4.979682015077095230e+02
1.382153557145384903e+00,5.266641148221227695e+02
1.382037493016759822e+00,5.349824309944076504e+02
1.381802332356427909e+00,5.553600281365362434e+02
1.381447495512251322e+00,5.840559414509497174e+02
1.381070853798045395e+00,6.127518547653631913e+02
1.380688022075598376e+00,6.414477680797764378e+02
1.380320616035550341e+00,6.701436813941899118e+02
1.379989182239623080e+00,6.988395947086033857e+02
1.379740538268156458e+00,7.240425517513936029e+02
1.379711530984646606e+00,7.275355080230166323e+02
1.379515467931145656e+00,7.562314213374301062e+02
1.379339814540808895e+00,7.849273346518436938e+02
1.379163783413053679e+00,8.136232479662568267e+02
1.378965881655562775e+00,8.423191612806704143e+02
1.378728138682680626e+00,8.710150745950837745e+02
1.378437618830904654e+00,8.997109879094972484e+02
1.378085668679432274e+00,9.284069012239104950e+02
1.377665879204888144e+00,9.571028145383238552e+02
1.377443583519553094e+00,9.703590816703447217e+02
1.377216208897058536e+00,9.857987278527374428e+02
1.376734515491394362e+00,1.014494641167150689e+03
1.376175609732947613e+00,1.043190554481564050e+03
1.375528647159154128e+00,1.071886467795977751e+03
1.375146628770949730e+00,1.087058675023746446e+03
1.374837071167671398e+00,1.100582381110390997e+03
1.374115354009466827e+00,1.129278294424804244e+03
1.373307317925132054e+00,1.157974207739217945e+03
1.372849674022346367e+00,1.173265293346960789e+03
1.372477110338976791e+00,1.186670121053631192e+03
1.371651041460517861e+00,1.215366034368044438e+03
1.370772770398357876e+00,1.244061947682458140e+03
1.370552719273742781e+00,1.251231782034431490e+03
1.369924700847988674e+00,1.272757860996871386e+03
1.369039667373871172e+00,1.301453774311284633e+03
1.368255764525139639e+00,1.324847471822176203e+03
1.368080181813218221e+00,1.330149687625698334e+03
1.367072760848845547e+00,1.358845600940111581e+03
1.365958809776536276e+00,1.386228751581417782e+03
1.365903235359299028e+00,1.387541514254525282e+03
1.364607129748776515e+00,1.416237427568938529e+03
1.363661855027932912e+00,1.434798246961759332e+03
1.363096225952176610e+00,1.444933340883351775e+03
1.361364900279329548e+00,1.473616815269957897e+03
1.361364047202805905e+00,1.473629254197765022e+03
1.359370908930494615e+00,1.502325167512178723e+03
1.359067945530726185e+00,1.506613184788332546e+03
1.357083579903733295e+00,1.531021080826591970e+03
1.356770990782122821e+00,1.534931093344836199e+03
1.354500328612688209e+00,1.559716994141005216e+03
1.354474036033519457e+00,1.560015951588726239e+03
1.352177081284916316e+00,1.583629523672804225e+03
1.351663578410670752e+00,1.588412907455418917e+03
1.349880126536312730e+00,1.606448759404365319e+03
1.348777343735771073e+00,1.617108820769832164e+03
1.347583171787709588e+00,1.629575518821729929e+03
1.346023548320436358e+00,1.645804734084245410e+03
1.345286217039106003e+00,1.653932799530409739e+03
1.343441770383486888e+00,1.674500647398659112e+03
1.342989262290502861e+00,1.679684373339644253e+03
1.340933313830980689e+00,1.703196560713072358e+03
1.340692307541899497e+00,1.705926490576125389e+03
1.338395352793296134e+00,1.731050601411996013e+03
1.338314518844704093e+00,1.731892474027485605e+03
1.336098398044692770e+00,1.753515379638161903e+03
1.335292068271364485e+00,1.760588387341899306e+03
1.333801443296089406e+00,1.772668401823922295e+03
1.331504488547486043e+00,1.788419263079861821e+03
1.331355719397265602e+00,1.789284300656312553e+03
1.329207533798882679e+00,1.800856830265566487e+03
1.326910579050279315e+00,1.810505337042940710e+03
1.324613624301675952e+00,1.817727840893661323e+03
1.324504733974644077e+00,1.817980213970726254e+03
1.322316669553072588e+00,1.822885718732186433e+03
1.320019714804469224e+00,1.826303821531613266e+03
1.317722760055865860e+00,1.828294611277079184e+03
1.315425805307262497e+00,1.829154453429909154e+03
1.313128850558659355e+00,1.829159416287631302e+03
1.310831895810055769e+00,1.828560549401097433e+03
1.308534941061452628e+00,1.827582586749108941e+03
1.306237986312849042e+00,1.826428552384582417e+03
1.303941031564245900e+00,1.825290102605811853e+03
1.301644076815642315e+00,1.824361342955377040e+03
1.299347122067039173e+00,1.823852759778060545e+03
1.297050167318435809e+00,1.824001789772478787e+03
1.294753212569832446e+00,1.825077147353500550e+03
1.292456257821229082e+00,1.827374985091499184e+03
1.290159303072625718e+00,1.831205865299871220e+03
1.287862348324022355e+00,1.836871892155807700e+03
1.285565393575418991e+00,1.844632804168516259e+03
1.285074830316747185e+00,1.846676127285139501e+03
1.283268438826815627e+00,1.855642200141585363e+03
1.280971484078212264e+00,1.869221568468951546e+03
1.280032517825183902e+00,1.875372040599552747e+03
1.278674529329608900e+00,1.885443357752425072e+03
1.276377574581005536e+00,1.902802297086790986e+03
1.276201685538826069e+00,1.904067953913966448e+03
1.274080619832402173e+00,1.919606177334801941e+03
1.271991787765308857e+00,1.932763867228379695e+03
1.271783665083798587e+00,1.934012101530045129e+03
1.269486710335195445e+00,1.944853627453150239e+03
1.267189755586592081e+00,1.952338213739426010e+03
1.264892800837988940e+00,1.956584739356457931e+03
1.262595846089385354e+00,1.957845920602431534e+03
1.260298891340782212e+00,1.956471044726135460e+03
1.258001936592178627e+00,1.952863167164026208e+03
1.255704981843575485e+00,1.947434102439495064e+03
1.253408027094971899e+00,1.940562700502540338e+03
1.251167209450891660e+00,1.932763867228379695e+03
1.251111072346368758e+00,1.932559637784753704e+03
1.248814117597765394e+00,1.923714242441784791e+03
1.246517162849162030e+00,1.914488283198820000e+03
1.244220208100558667e+00,1.905055486199095640e+03
1.243972205654724439e+00,1.904067953913966448e+03
1.241923253351955303e+00,1.896530302047053738e+03
1.239626298603351939e+00,1.888680373346881879e+03
1.237329343854748576e+00,1.881613510154481446e+03
1.235032389106145212e+00,1.875564040338755603e+03
1.234937739213512575e+00,1.875372040599552747e+03
1.232735434357541848e+00,1.871791765480035110e+03
1.230438479608938485e+00,1.869427095522717764e+03
1.228141524860335121e+00,1.868569730969526745e+03
1.225844570111731757e+00,1.869333149581434554e+03
1.223547615363128394e+00,1.871778604168599259e+03
1.221532421840571869e+00,1.875372040599552520e+03
1.221250660614525030e+00,1.876063873648754907e+03
1.218953705865921666e+00,1.883714151066921431e+03
1.216656751117318525e+00,1.892926503256261185e+03
1.214359796368714939e+00,1.902914958923577615e+03
1.214096142877874929e+00,1.904067953913966448e+03
1.212062841620111797e+00,1.916148164997871618e+03
1.209765886871508433e+00,1.927879373090448098e+03
1.208545528737259067e+00,1.932763867228379695e+03
1.207468932122905070e+00,1.938149602174122265e+03
1.205171977374301706e+00,1.945633145458789386e+03
1.202875022625698342e+00,1.949088090162875687e+03
1.200578067877094979e+00,1.949271794756255531e+03
1.198281113128491615e+00,1.946855826346933100e+03
1.195984158379888251e+00,1.942315531945953126e+03
1.193687203631284888e+00,1.935914893872593439e+03
