# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.3
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
1.09474371e+00  0.00000000e+00  3.00000000e-01  6.34759565e-01  mix  5.29869593e+02  1.52459520e+03  0.00000000e+00  0.00000000e+00  1.75941139e+03  3.00000000e-01  6.88865735e-01  3.32954742e-01  1.08686257e-01  1.71670226e-01  6.67045258e-01  1.91313743e-01  5.17195509e-01  3.41556603e+02  3.42944556e+02  3.42438956e+02  1.08686257e-01  7.45998213e-02  1.27667100e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.20015632e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.58359001e-01  6.25581265e-01  5.17195509e-01  1.61233446e-01  1.38766554e-01  3.26058772e-02  5.73941228e-02  2.10000000e-01
1.12045409e+00  0.00000000e+00  3.00000000e-01  8.02337670e-01  mix  5.31086116e+02  1.57285955e+03  0.00000000e+00  0.00000000e+00  1.75931247e+03  3.00000000e-01  7.26671820e-01  1.76061521e-01  5.79626221e-02  9.05930444e-02  8.23938479e-01  2.42037378e-01  6.36078775e-01  3.42485193e+02  3.45583966e+02  3.44975973e+02  5.79626221e-02  3.91972081e-02  6.72103378e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.16913533e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.06597586e+00  7.69760804e-01  6.36078775e-01  1.61061045e-01  1.38938955e-01  1.73887866e-02  7.26112134e-02  2.10000000e-01
1.14616447e+00  0.00000000e+00  3.00000000e-01  9.70260686e-01  mix  5.32117189e+02  1.62114953e+03  0.00000000e+00  0.00000000e+00  1.75918419e+03  3.00000000e-01  7.62765058e-01  2.58950340e-02  8.58477134e-03  1.33030888e-02  9.74104966e-01  2.91415229e-01  7.49461969e-01  3.43244779e+02  3.47603308e+02  3.47475299e+02  8.57970470e-03  5.73628134e-03  9.84994053e-03  5.06664877e-06  0.00000000e+00  0.00000000e+00  1.72404080e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.26552019e+00  9.07332734e-01  7.49461969e-01  1.60895170e-01  1.39104830e-01  2.57543140e-03  8.74245686e-02  2.10000000e-01
9.91902184e-01  0.00000000e+00  3.00000000e-01  6.48579606e-03  mix  5.37620902e+02  1.37244213e+03  0.00000000e+00  0.00000000e+00  1.74732391e+03  4.00000000e-01  4.93245371e-01  9.92534652e-01  3.96856072e-01  4.87945160e-01  7.46534765e-03  3.14392795e-03  5.30021030e-03  3.63544628e+02  3.86798384e+02  3.63705449e+02  3.68899003e-01  1.95001213e-01  3.41366644e-01  2.79570693e-02  0.00000000e+00  0.00000000e+00  5.93107236e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.06092756e-02  6.48655705e-03  5.30021030e-03  2.13205617e-01  1.86794383e-01  1.19056822e-01  9.43178385e-04  2.80000000e-01
1.01761257e+00  0.00000000e+00  3.00000000e-01  1.72464449e-01  mix  5.38707965e+02  1.42196565e+03  0.00000000e+00  0.00000000e+00  1.74822190e+03  4.00000000e-01  5.35471304e-01  8.06363527e-01  3.19578403e-01  3.97442878e-01  1.93636473e-01  8.04215970e-02  1.38028426e-01  3.62595106e+02  3.85165346e+02  3.66693053e+02  2.98223342e-01  1.59335075e-01  2.78812280e-01  2.13550607e-02  0.00000000e+00  0.00000000e+00  4.86377686e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.74058070e-01  1.68822923e-01  1.38028426e-01  2.12980172e-01  1.87019828e-01  9.58735209e-02  2.41264791e-02  2.80000000e-01
1.04332295e+00  0.00000000e+00  3.00000000e-01  3.39263310e-01  mix  5.39728485e+02  1.47151573e+03  0.00000000e+00  0.00000000e+00  1.74889773e+03  4.00000000e-01  5.76068790e-01  6.28274203e-01  2.47289560e-01  3.10273911e-01  3.71725797e-01  1.52710440e-01  2.65794879e-01  3.61855138e+02  3.83884985e+02  3.69631708e+02  2.31463678e-01  1.24698350e-01  2.18124558e-01  1.58258817e-02  0.00000000e+00  0.00000000e+00  3.81617355e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.24436237e-01  3.24946274e-01  2.65794879e-01  2.12765118e-01  1.87234882e-01  7.41868680e-02  4.58131320e-02  2.80000000e-01
1.06903333e+00  0.00000000e+00  3.00000000e-01  5.06613926e-01  mix  5.40709197e+02  1.52109043e+03  0.00000000e+00  0.00000000e+00  1.74942233e+03  4.00000000e-01  6.15021314e-01  4.58035175e-01  1.79295861e-01  2.26549570e-01  5.41964825e-01  2.20704139e-01  3.88471744e-01  3.61264393e+02  3.82857765e+02  3.72523381e+02  1.68225791e-01  9.12318941e-02  1.59535340e-01  1.10700701e-02  0.00000000e+00  0.00000000e+00  2.79720799e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.62668965e-01  4.74753767e-01  3.88471744e-01  2.12559587e-01  1.87440413e-01  5.37887582e-02  6.62112418e-02  2.80000000e-01
1.09474371e+00  0.00000000e+00  3.00000000e-01  6.74350589e-01  mix  5.41665763e+02  1.57068841e+03  0.00000000e+00  0.00000000e+00  1.74984006e+03  4.00000000e-01  6.52360602e-01  2.95304618e-01  1.15079843e-01  1.46241827e-01  7.04695382e-01  2.84920157e-01  5.06118774e-01  3.60782999e+02  3.82017258e+02  3.75369912e+02  1.08186050e-01  5.89884271e-02  1.03124661e-01  6.89379332e-03  0.00000000e+00  0.00000000e+00  1.81116867e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.89615539e-01  6.18351833e-01  5.06118774e-01  2.12362851e-01  1.87637149e-01  3.45239530e-02  8.54760470e-02  2.80000000e-01
1.12045409e+00  0.00000000e+00  3.00000000e-01  8.42366512e-01  mix  5.42607781e+02  1.62030868e+03  0.00000000e+00  0.00000000e+00  1.75017986e+03  4.00000000e-01  6.88142897e-01  1.39698318e-01  5.42388207e-02  6.92520535e-02  8.60301682e-01  3.45761179e-01  6.18890844e-01  3.60383798e+02  3.81317855e+02  3.78173031e+02  5.10722890e-02  2.79718449e-02  4.88897827e-02  3.16653173e-03  0.00000000e+00  0.00000000e+00  8.59786954e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20606286e+00  7.55951341e-01  6.18890844e-01  2.12174281e-01  1.87825719e-01  1.62716462e-02  1.03728354e-01  2.80000000e-01
1.14616447e+00  0.00000000e+00  3.00000000e-01  1.01059025e+00  Q  5.43541360e+02  1.66995045e+03  0.00000000e+00  0.00000000e+00  1.75046125e+03  4.00000000e-01  7.22436110e-01  -9.17659871e-03  -3.55178074e-03  -4.55292090e-03  1.00917660e+00  4.03551781e-01  7.26989031e-01  3.60047767e+02  3.80727396e+02  3.80934364e+02  -3.34897506e-03  -1.84111131e-03  -3.21729808e-03  -2.02805684e-04  -0.00000000e+00  -0.00000000e+00  -5.66408570e-04  -0.00000000e+00  -0.00000000e+00  -0.00000000e+00  -0.00000000e+00  -0.00000000e+00  1.41272838e+00  8.87812386e-01  7.26989031e-01  2.11993321e-01  1.88006679e-01  -1.06553422e-03  1.21065534e-01  2.80000000e-01
