# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = beta_eq_neutrinoless
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
6.06246467e-01  0.00000000e+00  0.00000000e+00  2.16201188e-01  mix  1.52936924e+02  6.69755632e+02  0.00000000e+00  0.00000000e+00  1.35702656e+03  1.07214074e-02  4.93147679e-01  7.62037084e-01  1.23814179e-01  2.30057603e-01  2.37962916e-01  -1.13092772e-01  2.63090076e-01  1.12446191e+02  1.41004963e-01  4.06592341e-01  1.97248997e-01  0.00000000e+00  0.00000000e+00  1.57296133e-03  0.00000000e+00  1.56178226e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.24870144e-01  3.25928528e-01  2.63090076e-01  1.03083977e-02  4.13009737e-04  0.00000000e+00  0.00000000e+00  1.07214074e-02
6.31956848e-01  0.00000000e+00  0.00000000e+00  2.24357847e-01  mix  1.67473021e+02  7.04946977e+02  0.00000000e+00  0.00000000e+00  1.38050565e+03  8.84969971e-03  5.17096873e-01  7.54417007e-01  1.20022664e-01  2.47487792e-01  2.45582993e-01  -1.11172964e-01  2.69609081e-01  1.08034530e+02  1.41731877e-01  3.85346746e-01  2.05629171e-01  0.00000000e+00  0.00000000e+00  1.55980514e-03  0.00000000e+00  2.01494079e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.34410029e-01  3.32729869e-01  2.69609081e-01  8.77011627e-03  7.95834361e-05  0.00000000e+00  0.00000000e+00  8.84969971e-03
6.57667229e-01  0.00000000e+00  0.00000000e+00  2.32444341e-01  mix  1.82650612e+02  7.40742795e+02  0.00000000e+00  0.00000000e+00  1.40404351e+03  7.43398640e-03  5.39355126e-01  7.46679610e-01  1.16404499e-01  2.63246309e-01  2.53320390e-01  -1.08970512e-01  2.76108818e-01  1.03611527e+02  1.42212155e-01  3.65599387e-01  2.13060412e-01  0.00000000e+00  0.00000000e+00  1.42941539e-03  0.00000000e+00  2.43782408e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.44349877e-01  3.39502475e-01  2.76108818e-01  7.43398640e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.43398640e-03
6.83377610e-01  0.00000000e+00  0.00000000e+00  2.41119787e-01  mix  1.98434538e+02  7.77143957e+02  0.00000000e+00  0.00000000e+00  1.42758335e+03  6.26751160e-03  5.60390121e-01  7.38139748e-01  1.12991707e-01  2.77081704e-01  2.61860252e-01  -1.06724195e-01  2.83308417e-01  9.91405225e+01  1.42397953e-01  3.46875547e-01  2.19460003e-01  0.00000000e+00  0.00000000e+00  1.19079113e-03  0.00000000e+00  2.82154548e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.55136056e-01  3.47136281e-01  2.83308417e-01  6.26751160e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.26751160e-03
7.09087991e-01  0.00000000e+00  0.00000000e+00  2.50943338e-01  mix  2.14788377e+02  8.14149787e+02  0.00000000e+00  0.00000000e+00  1.45107261e+03  5.24501331e-03  5.80529709e-01  7.28226867e-01  1.09802926e-01  2.88752100e-01  2.71773133e-01  -1.04557912e-01  2.91777609e-01  9.45835006e+01  1.42244699e-01  3.28810118e-01  2.24730277e-01  0.00000000e+00  0.00000000e+00  8.61723505e-04  0.00000000e+00  3.15800496e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.67215221e-01  3.56326569e-01  2.91777609e-01  5.24501331e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.24501331e-03
7.34798372e-01  0.00000000e+00  0.00000000e+00  2.62375149e-01  mix  2.31672650e+02  8.51758349e+02  0.00000000e+00  0.00000000e+00  1.47446026e+03  4.34638919e-03  5.99979464e-01  7.16479720e-01  1.06839591e-01  2.98034535e-01  2.83520280e-01  -1.02493201e-01  3.01944930e-01  8.99013235e+01  1.41711716e-01  3.11127788e-01  2.28768090e-01  0.00000000e+00  0.00000000e+00  4.77806408e-04  0.00000000e+00  3.43943193e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.81027079e-01  3.67588832e-01  3.01944930e-01  4.34638919e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.34638919e-03
7.60508754e-01  0.00000000e+00  0.00000000e+00  2.75877288e-01  mix  2.49036472e+02  8.89966267e+02  0.00000000e+00  0.00000000e+00  1.49768525e+03  3.55631223e-03  6.18901869e-01  7.02439754e-01  1.04052516e-01  3.04688745e-01  2.97560246e-01  -1.00496204e-01  3.14213124e-01  8.50555534e+01  1.40738857e-01  2.93584209e-01  2.31430347e-01  0.00000000e+00  0.00000000e+00  1.14283515e-04  0.00000000e+00  3.65720572e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.97064042e-01  3.81403572e-01  3.14213124e-01  3.55631223e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.55631223e-03
7.86219135e-01  0.00000000e+00  0.00000000e+00  2.91729943e-01  mix  2.66817620e+02  9.28768480e+02  0.00000000e+00  0.00000000e+00  1.52067795e+03  2.86313488e-03  6.37314641e-01  6.85849433e-01  1.01272108e-01  3.08566811e-01  3.14150567e-01  -9.84089730e-02  3.28747830e-01  8.00075185e+01  1.39269673e-01  2.76010514e-01  2.32571681e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.79975648e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.15741594e-01  3.97962277e-01  3.28747830e-01  2.86313488e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.86313488e-03
8.11929516e-01  0.00000000e+00  0.00000000e+00  3.10925413e-01  mix  2.84922991e+02  9.68157826e+02  0.00000000e+00  0.00000000e+00  1.54333694e+03  2.25858029e-03  6.55593189e-01  6.65702115e-01  9.85071897e-02  3.09122079e-01  3.34297885e-01  -9.62486095e-02  3.46471110e-01  7.47231056e+01  1.37131793e-01  2.58072846e-01  2.31872873e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.86246033e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.38049276e-01  4.18373270e-01  3.46471110e-01  2.25858029e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.25858029e-03
8.37639897e-01  0.00000000e+00  0.00000000e+00  3.34630283e-01  mix  3.03222981e+02  1.00812403e+03  0.00000000e+00  0.00000000e+00  1.56552596e+03  1.73699701e-03  6.74120558e-01  6.40832981e-01  9.56916323e-02  3.05705438e-01  3.59167019e-01  -9.39546353e-02  3.68415121e-01  6.91763211e+01  1.34091705e-01  2.39435912e-01  2.28905293e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.84000724e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.65212383e-01  4.43873552e-01  3.68415121e-01  1.73699701e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.73699701e-03
