# mode  eta  T  status  reason  n_onset  n_offset  n_found  n_expected  n_had  n_quark  seconds  Y_C
fixed_YC  3.00000000e-01  0.00000000e+00  ok  ok  9.87592774e-01  1.14886698e+00  7.00000000e+00  7.00000000e+00  5.90000000e+01  7.00000000e+01  2.19668794e+00  4.00000000e-01
fixed_YC  3.00000000e-01  0.00000000e+00  sparse (4/6)  ok  9.66408839e-01  1.12654778e+00  4.00000000e+00  6.00000000e+00  5.70000000e+01  7.00000000e+01  6.25439901e+01  5.00000000e-01
fixed_YC  3.00000000e-01  1.00000000e-01  ok  ok  9.01228602e-01  1.10053054e+00  8.00000000e+00  8.00000000e+00  6.00000000e+01  7.00000000e+01  4.48064709e+00  1.00000000e-01
fixed_YC  3.00000000e-01  1.00000000e-01  sparse (5/6)  ok  9.95954292e-01  1.15058510e+00  5.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  4.34842587e+00  3.00000000e-01
fixed_YC  3.00000000e-01  1.00000000e-01  ok  ok  9.85760112e-01  1.13970368e+00  6.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  1.79318810e+01  4.00000000e-01
fixed_YC  3.00000000e-01  1.00000000e-01  sparse (4/6)  ok  9.66792825e-01  1.12836754e+00  4.00000000e+00  6.00000000e+00  5.70000000e+01  7.00000000e+01  8.80910087e+00  5.00000000e-01
fixed_YC  3.00000000e-01  2.00000000e+01  ok  ok  8.41211542e-01  1.04504307e+00  8.00000000e+00  8.00000000e+00  5.90000000e+01  7.00000000e+01  2.98209310e+00  1.00000000e-01
fixed_YC  3.00000000e-01  2.00000000e+01  ok  ok  9.52025084e-01  1.09962722e+00  6.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  2.68726778e+00  3.00000000e-01
fixed_YC  3.00000000e-01  2.00000000e+01  sparse (4/5)  ok  9.52522297e-01  1.08897227e+00  4.00000000e+00  5.00000000e+00  5.90000000e+01  7.00000000e+01  2.97508597e+00  4.00000000e-01
fixed_YC  3.00000000e-01  2.00000000e+01  ok  ok  9.31907374e-01  1.07512133e+00  6.00000000e+00  6.00000000e+00  5.70000000e+01  7.00000000e+01  3.46570420e+00  5.00000000e-01
fixed_YC  3.00000000e-01  5.00000000e+01  ok  ok  4.33212680e-01  6.54964717e-01  8.00000000e+00  8.00000000e+00  6.00000000e+01  7.00000000e+01  8.14855719e+00  1.00000000e-01
fixed_YC  3.00000000e-01  5.00000000e+01  ok  ok  5.74327613e-01  7.45681460e-01  7.00000000e+00  7.00000000e+00  5.80000000e+01  7.00000000e+01  6.47293830e+00  3.00000000e-01
fixed_YC  3.00000000e-01  5.00000000e+01  ok  ok  6.54964717e-01  7.65840736e-01  5.00000000e+00  5.00000000e+00  5.60000000e+01  7.00000000e+01  6.18868279e+00  4.00000000e-01
fixed_YC  3.00000000e-01  5.00000000e+01  ok  ok  6.80739792e-01  7.77504317e-01  4.00000000e+00  4.00000000e+00  5.40000000e+01  7.00000000e+01  8.22716498e+00  5.00000000e-01
fixed_YC  1.00000000e+00  0.00000000e+00  ok  ok  9.27114945e-01  1.08838915e+00  6.00000000e+00  6.00000000e+00  6.00000000e+01  7.00000000e+01  1.31355119e+00  1.00000000e-01
fixed_YC  1.00000000e+00  0.00000000e+00  sparse (5/6)  ok  9.97672412e-01  1.14886698e+00  5.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  1.47341084e+00  3.00000000e-01
fixed_YC  1.00000000e+00  0.00000000e+00  sparse (1/5)  ok  9.92920582e-01  1.14152325e+00  1.00000000e+00  5.00000000e+00  5.90000000e+01  7.00000000e+01  5.19596505e+00  4.00000000e-01
fixed_YC  1.00000000e+00  0.00000000e+00  sparse (1/5)  ok  9.67433497e-01  1.11862807e+00  1.00000000e+00  5.00000000e+00  5.70000000e+01  7.00000000e+01  1.98592997e+00  5.00000000e-01
fixed_YC  1.00000000e+00  1.00000000e-01  sparse (5/6)  ok  9.25282284e-01  1.09022182e+00  5.00000000e+00  6.00000000e+00  6.00000000e+01  7.00000000e+01  3.43376303e+00  1.00000000e-01
fixed_YC  1.00000000e+00  1.00000000e-01  sparse (5/6)  ok  9.95954292e-01  1.15058510e+00  5.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  4.40065002e+00  3.00000000e-01
fixed_YC  1.00000000e+00  1.00000000e-01  sparse (1/6)  ok  9.90755551e-01  1.14368828e+00  1.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  1.06148798e+01  4.00000000e-01
fixed_YC  1.00000000e+00  1.00000000e-01  sparse (1/5)  ok  9.76024098e-01  1.12034619e+00  1.00000000e+00  5.00000000e+00  5.70000000e+01  7.00000000e+01  7.25305700e+00  5.00000000e-01
fixed_YC  1.00000000e+00  2.00000000e+01  ok  ok  8.67178585e-01  1.02462087e+00  6.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  3.02306581e+00  1.00000000e-01
fixed_YC  1.00000000e+00  2.00000000e+01  ok  ok  9.52025084e-01  1.09962722e+00  6.00000000e+00  6.00000000e+00  5.90000000e+01  7.00000000e+01  3.80195093e+00  3.00000000e-01
fixed_YC  1.00000000e+00  2.00000000e+01  ok  ok  9.57735985e-01  1.09328999e+00  5.00000000e+00  5.00000000e+00  5.90000000e+01  7.00000000e+01  5.63316870e+00  4.00000000e-01
fixed_YC  1.00000000e+00  2.00000000e+01  ok  ok  9.42153735e-01  1.07343072e+00  5.00000000e+00  5.00000000e+00  5.70000000e+01  7.00000000e+01  4.58986592e+00  5.00000000e-01
fixed_YC  1.00000000e+00  5.00000000e+01  ok  ok  4.63451594e-01  6.14646165e-01  6.00000000e+00  6.00000000e+00  6.00000000e+01  7.00000000e+01  1.00397031e+01  1.00000000e-01
fixed_YC  1.00000000e+00  5.00000000e+01  ok  ok  6.04566527e-01  7.45681460e-01  6.00000000e+00  6.00000000e+00  5.80000000e+01  7.00000000e+01  1.03460758e+01  3.00000000e-01
fixed_YC  1.00000000e+00  5.00000000e+01  ok  ok  6.54964717e-01  7.65840736e-01  5.00000000e+00  5.00000000e+00  5.60000000e+01  7.00000000e+01  8.86131597e+00  4.00000000e-01
fixed_YC  1.00000000e+00  5.00000000e+01  ok  ok  6.80739792e-01  7.77504317e-01  4.00000000e+00  4.00000000e+00  5.40000000e+01  7.00000000e+01  1.29192743e+01  5.00000000e-01
