# T_grid = [ 0.   0.1 20.  50. ]
# eta = 1.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
1.14616447e+00  0.00000000e+00  1.00000000e+00  9.71092681e-01  mix  5.32019665e+02  1.62114996e+03  0.00000000e+00  0.00000000e+00  1.75908795e+03  3.00000000e-01  7.62948464e-01  2.51737064e-02  8.42894702e-03  1.29086339e-02  9.74826294e-01  2.91571053e-01  7.50039830e-01  3.44344218e+02  3.47567621e+02  8.40543487e-03  5.53818909e-03  9.52801883e-03  2.35121556e-05  0.00000000e+00  0.00000000e+00  1.67855146e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.26639735e+00  9.08041705e-01  7.50039830e-01  1.60895157e-01  1.39104843e-01  8.42894702e-03  2.91571053e-01  0.00000000e+00
1.12045409e+00  0.00000000e+00  1.00000000e+00  8.58380168e-01  mix  5.40601029e+02  1.62035584e+03  0.00000000e+00  0.00000000e+00  1.74828817e+03  4.00000000e-01  6.91889894e-01  1.25470195e-01  5.10612493e-02  6.16482016e-02  8.74529805e-01  3.48938751e-01  6.30241692e-01  3.65808279e+02  3.80135277e+02  4.69923167e-02  2.42788372e-02  4.26809479e-02  4.06893258e-03  0.00000000e+00  0.00000000e+00  7.44916055e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.22346856e+00  7.69879167e-01  6.30241692e-01  2.12173589e-01  1.87826411e-01  5.10612493e-02  3.48938751e-01  0.00000000e+00
1.09474371e+00  0.00000000e+00  1.00000000e+00  8.32100778e-01  mix  5.38995462e+02  1.62274017e+03  0.00000000e+00  0.00000000e+00  1.72593038e+03  5.00000000e-01  6.38527366e-01  1.49679503e-01  7.26225825e-02  6.91780386e-02  8.50320497e-01  4.27377417e-01  5.69349328e-01  3.84903470e+02  4.06772847e+02  6.17078242e-02  2.54959046e-02  4.48587512e-02  1.09147584e-02  0.00000000e+00  0.00000000e+00  6.70226451e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.27769791e+00  7.03914249e-01  5.69349328e-01  2.63315671e-01  2.36684329e-01  7.26225825e-02  4.27377417e-01  0.00000000e+00
9.66191803e-01  1.00000000e-01  1.00000000e+00  2.60706864e-01  mix  4.19849181e+02  1.23166881e+03  5.27255683e-03  5.45704985e-03  1.69007004e+03  1.00000000e-01  6.53707244e-01  7.16327347e-01  8.60682216e-02  4.02567515e-01  2.83672653e-01  1.39317784e-02  2.51139729e-01  2.45244875e+02  1.94661987e+02  1.48555938e-01  2.27691610e-01  2.77592082e-01  0.00000000e+00  7.78423140e-245  1.22444449e-15  4.78648275e-64  6.24877167e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.97604432e-01  3.02273799e-01  2.51139729e-01  5.83590585e-02  4.16409415e-02  8.60682216e-02  1.39317784e-02  0.00000000e+00
9.91902184e-01  1.00000000e-01  1.00000000e+00  4.18391031e-01  mix  4.28676653e+02  1.27573376e+03  5.83448938e-03  5.88212172e-03  1.69763595e+03  1.00000000e-01  7.01905850e-01  5.52307807e-01  7.31678524e-02  3.07650053e-01  4.47692193e-01  2.68321476e-02  3.94255797e-01  2.53127171e+02  2.06842095e+02  1.18241033e-01  1.71489902e-01  2.17503692e-01  0.00000000e+00  1.05385603e-236  2.70470357e-36  8.23098162e-41  4.50731805e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.74524340e-01  4.74296441e-01  3.94255797e-01  5.82096742e-02  4.17903258e-02  7.31678524e-02  2.68321476e-02  0.00000000e+00
1.01761257e+00  1.00000000e-01  1.00000000e+00  5.72812040e-01  mix  4.36752356e+02  1.32001806e+03  6.39979769e-03  6.28903171e-03  1.70434120e+03  1.00000000e-01  7.47144371e-01  3.97505970e-01  5.73260642e-02  2.19443975e-01  6.02494030e-01  4.26739358e-02  5.27700396e-01  2.60217453e+02  2.17827239e+02  8.76433197e-02  1.20735931e-01  1.58809464e-01  0.00000000e+00  1.89639596e-229  3.86189023e-56  2.96613018e-19  3.03172555e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.45167966e-01  6.34613728e-01  5.27700396e-01  5.80866624e-02  4.19133376e-02  5.73260642e-02  4.26739358e-02  0.00000000e+00
1.04332295e+00  1.00000000e-01  1.00000000e+00  7.25320133e-01  mix  4.44005761e+02  1.36449639e+03  7.03598278e-03  6.74382060e-03  1.71017196e+03  1.00000000e-01  7.90093453e-01  2.50434183e-01  3.89154490e-02  1.37130145e-01  7.49565817e-01  6.10845510e-02  6.52963308e-01  2.66637059e+02  2.27626281e+02  5.66917573e-02  7.45561089e-02  1.01242489e-01  0.00000000e+00  2.07777348e-223  9.77023975e-75  1.67519787e-04  1.77763083e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.10650368e-01  7.85083775e-01  6.52963308e-01  5.79784782e-02  4.20215218e-02  3.89154490e-02  6.10845510e-02  0.00000000e+00
1.06903333e+00  1.00000000e-01  1.00000000e+00  8.76227248e-01  mix  4.50518276e+02  1.40914363e+03  7.60049473e-03  7.10968922e-03  1.71524916e+03  1.00000000e-01  8.30969477e-01  1.10617516e-01  1.84220441e-02  6.02876339e-02  8.89382484e-01  8.15779559e-02  7.70681843e-01  2.72771841e+02  2.36320289e+02  2.55898605e-02  3.23761330e-02  4.50154110e-02  0.00000000e+00  1.49266111e-219  1.55569848e-91  4.68295083e-04  7.16781638e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.70960440e-01  9.26505169e-01  7.70681843e-01  5.78783882e-02  4.21216118e-02  1.84220441e-02  8.15779559e-02  0.00000000e+00
1.04332295e+00  1.00000000e-01  1.00000000e+00  3.03091313e-01  mix  5.26050168e+02  1.42818026e+03  6.06710765e-03  5.81517705e-03  1.75921096e+03  3.00000000e-01  6.07675619e-01  6.66130019e-01  2.10704545e-01  3.45708423e-01  3.33869981e-01  8.92954548e-02  2.61967197e-01  3.38082391e+02  3.35316485e+02  2.10704545e-01  1.52807080e-01  2.59528366e-01  2.18776792e-39  2.48403141e-219  0.00000000e+00  4.30900285e-02  1.49436864e-93  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.23165435e-01  3.16477310e-01  2.61967197e-01  1.61603843e-01  1.38396157e-01  2.10704545e-01  8.92954548e-02  0.00000000e+00
1.06903333e+00  1.00000000e-01  1.00000000e+00  4.68029303e-01  mix  5.28291144e+02  1.47636697e+03  6.71872788e-03  6.28486289e-03  1.75942081e+03  3.00000000e-01  6.49223537e-01  4.96512281e-01  1.60038764e-01  2.56716446e-01  5.03487719e-01  1.39961236e-01  3.92507091e-01  3.40168352e+02  3.39521427e+02  1.60038764e-01  1.12302637e-01  1.91625314e-01  2.42092299e-24  6.49080136e-223  0.00000000e+00  3.25455661e-02  3.25622451e-111  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.43448955e-01  4.74507111e-01  3.92507091e-01  1.61417440e-01  1.38582560e-01  1.60038764e-01  1.39961236e-01  0.00000000e+00
