# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
6.06246467e-01  0.00000000e+00  0.00000000e+00  8.72479734e-02  mix  1.61183658e+02  6.72828575e+02  0.00000000e+00  0.00000000e+00  1.36637204e+03  1.00000000e-01  3.89478625e-01  9.02576144e-01  1.45423829e-01  2.82067821e-01  9.74238565e-02  -4.54238294e-02  1.07410803e-01  2.03949848e+02  1.68061621e-01  4.73202941e-01  2.38673790e-01  0.00000000e+00  0.00000000e+00  1.88155144e-03  0.00000000e+00  2.07562400e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.20000271e-02  1.32860739e-01  1.07410803e-01  6.15086845e-02  3.84913155e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
6.31956848e-01  0.00000000e+00  0.00000000e+00  8.64236640e-02  mix  1.76529414e+02  7.08516658e+02  0.00000000e+00  0.00000000e+00  1.39045740e+03  1.00000000e-01  4.11214471e-01  9.03962791e-01  1.42560456e-01  3.06099824e-01  9.60372092e-02  -4.25604564e-02  1.05114647e-01  2.06443034e+02  1.70838056e-01  4.53475138e-01  2.51371998e-01  0.00000000e+00  0.00000000e+00  1.82737245e-03  0.00000000e+00  2.64502267e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.34767529e-02  1.29520228e-01  1.05114647e-01  6.11968222e-02  3.88031778e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
6.57667229e-01  0.00000000e+00  0.00000000e+00  8.57793048e-02  mix  1.92592623e+02  7.44843647e+02  0.00000000e+00  0.00000000e+00  1.41466899e+03  1.00000000e-01  4.31756725e-01  9.05026657e-01  1.39887479e-01  3.28582293e-01  9.49733428e-02  -3.98874792e-02  1.03174432e-01  2.08872709e+02  1.73383238e-01  4.34931465e-01  2.63216196e-01  0.00000000e+00  0.00000000e+00  1.62542070e-03  0.00000000e+00  3.18703379e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.50858636e-02  1.26659732e-01  1.03174432e-01  6.09052300e-02  3.90947700e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
6.83377610e-01  0.00000000e+00  0.00000000e+00  8.56848184e-02  mix  2.09369050e+02  7.81812541e+02  0.00000000e+00  0.00000000e+00  1.43898572e+03  1.00000000e-01  4.51323214e-01  9.05381647e-01  1.37518385e-01  3.49332502e-01  9.46183529e-02  -3.75183854e-02  1.01990712e-01  2.11242843e+02  1.75721703e-01  4.17246080e-01  2.74210546e-01  0.00000000e+00  0.00000000e+00  1.28468014e-03  0.00000000e+00  3.69186376e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.70999675e-02  1.24764379e-01  1.01990712e-01  6.06318814e-02  3.93681186e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
7.09087991e-01  0.00000000e+00  0.00000000e+00  8.65231965e-02  mix  2.26850266e+02  8.19425886e+02  0.00000000e+00  0.00000000e+00  1.46338207e+03  1.00000000e-01  4.70103236e-01  9.04626464e-01  1.35533951e-01  3.68137452e-01  9.53735356e-02  -3.55339512e-02  1.01965784e-01  2.13557018e+02  1.77860861e-01  4.00124234e-01  2.84314460e-01  0.00000000e+00  0.00000000e+00  8.30827628e-04  0.00000000e+00  4.14960821e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.98395844e-02  1.24315239e-01  1.01965784e-01  6.03750183e-02  3.96249817e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
7.34798372e-01  0.00000000e+00  0.00000000e+00  8.86771198e-02  mix  2.45021408e+02  8.57685626e+02  0.00000000e+00  0.00000000e+00  1.48782553e+03  1.00000000e-01  4.88244417e-01  9.02357622e-01  1.33972335e-01  3.84757426e-01  9.76423779e-02  -3.39723347e-02  1.03486991e-01  2.15818481e+02  1.79792497e-01  3.83298863e-01  2.93446100e-01  0.00000000e+00  0.00000000e+00  3.28998231e-04  0.00000000e+00  4.54911638e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.36700432e-02  1.25770099e-01  1.03486991e-01  6.01331070e-02  3.98668930e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
7.60508754e-01  0.00000000e+00  0.00000000e+00  9.23545612e-02  mix  2.63861306e+02  8.96592923e+02  0.00000000e+00  0.00000000e+00  1.51227747e+03  1.00000000e-01  5.05749710e-01  8.98359992e-01  1.32761156e-01  3.99026662e-01  1.01640008e-01  -3.27611556e-02  1.06723048e-01  2.18030182e+02  1.81515856e-01  3.66572174e-01  3.01517261e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.87547005e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.88788525e-02  1.29318123e-01  1.06723048e-01  5.99048035e-02  4.00951965e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
7.86219135e-01  0.00000000e+00  0.00000000e+00  9.79461848e-02  mix  2.83335518e+02  9.36148036e+02  0.00000000e+00  0.00000000e+00  1.53668494e+03  1.00000000e-01  5.22694125e-01  8.92214301e-01  1.31850320e-01  4.10656792e-01  1.07785699e-01  -3.18503201e-02  1.12037333e-01  2.20194817e+02  1.82991971e-01  3.49707189e-01  3.08373491e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.11416504e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.59353786e-02  1.35384385e-01  1.12037333e-01  5.96889240e-02  4.03110760e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
8.11929516e-01  0.00000000e+00  0.00000000e+00  1.06882480e-01  mix  3.03363989e+02  9.76349315e+02  0.00000000e+00  0.00000000e+00  1.56094257e+03  1.00000000e-01  5.39655455e-01  8.82360745e-01  1.31429506e-01  4.18719072e-01  1.17639255e-01  -3.14295062e-02  1.20936383e-01  2.22314851e+02  1.84006475e-01  3.32212167e-01  3.13565133e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.25769692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.62097486e-02  1.45771633e-01  1.20936383e-01  5.94844220e-02  4.05155780e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
8.37639897e-01  0.00000000e+00  0.00000000e+00  1.20382894e-01  mix  3.23824463e+02  1.01719209e+03  0.00000000e+00  0.00000000e+00  1.58490324e+03  1.00000000e-01  5.56958576e-01  8.67477219e-01  1.31416201e-01  4.22366266e-01  1.32522781e-01  -3.14162014e-02  1.34592310e-01  2.24392548e+02  1.84319072e-01  3.13694752e-01  3.16560524e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.29028708e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.01106579e-01  1.61869452e-01  1.34592310e-01  5.92903683e-02  4.07096317e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
