# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run IMRPhenomPv2NRT_lowSpin_posterior, z=0.0099)
1.382101e+00	1.342502e+00	9.823290e+02	2.262623e+01
1.419100e+00	1.307725e+00	2.055548e+02	5.239781e+01
1.377887e+00	1.346536e+00	2.256645e+02	2.838536e+02
1.398747e+00	1.326788e+00	1.542339e+02	1.203585e+03
1.378695e+00	1.345584e+00	6.623481e+01	3.359498e+02
1.499089e+00	1.239969e+00	9.286913e+01	6.045054e+02
1.515722e+00	1.226772e+00	1.103013e+02	1.755418e+02
1.405572e+00	1.320153e+00	2.627524e+01	3.620656e+02
1.464207e+00	1.268359e+00	5.000858e+02	2.062591e+01
1.607049e+00	1.160723e+00	4.422826e+01	5.467726e+02
1.385906e+00	1.338608e+00	2.198367e+02	4.676451e+02
1.512766e+00	1.229293e+00	2.578529e+02	3.552589e+02
1.511893e+00	1.229970e+00	3.287634e+02	1.401792e+02
1.426910e+00	1.300943e+00	8.759770e+01	5.847494e+02
1.428402e+00	1.299703e+00	1.073250e+03	1.597346e+02
1.650213e+00	1.132486e+00	6.723277e+00	2.431209e+03
1.647972e+00	1.133820e+00	2.184369e+02	1.574904e+02
1.577393e+00	1.181243e+00	7.097848e+02	9.961263e+01
1.606852e+00	1.161070e+00	1.238384e+02	1.428057e+03
1.467807e+00	1.265393e+00	4.331889e+02	6.313728e+01
1.599728e+00	1.165833e+00	2.984878e+01	2.706735e+03
1.644703e+00	1.135780e+00	1.134289e+02	1.196908e+02
1.550247e+00	1.200579e+00	2.168151e+01	3.460740e+02
1.437320e+00	1.291743e+00	5.232453e+02	1.041115e+03
1.464145e+00	1.268345e+00	4.498598e+01	2.447293e+02
1.388073e+00	1.336456e+00	7.058110e+00	3.792850e+02
1.426798e+00	1.300864e+00	9.438889e+01	5.886214e+02
1.362294e+00	1.361986e+00	2.883757e+01	8.286095e+02
1.485508e+00	1.250744e+00	2.924923e+02	5.680640e+01
1.396985e+00	1.328541e+00	1.592865e+03	4.891066e+02
1.420009e+00	1.306859e+00	9.953637e+01	3.499991e+02
1.596448e+00	1.167889e+00	8.836972e+01	1.278822e+03
1.445846e+00	1.284194e+00	2.235012e+02	1.521106e+03
1.566922e+00	1.188927e+00	7.555365e+01	2.036121e+03
1.506068e+00	1.234539e+00	1.371844e+02	1.466906e+03
1.485709e+00	1.250672e+00	5.457339e+01	3.959720e+02
1.433571e+00	1.294780e+00	1.828224e+02	1.254128e+02
1.426556e+00	1.301260e+00	1.662409e+02	1.721388e+03
1.366604e+00	1.357646e+00	2.686228e+02	8.030632e+02
1.371642e+00	1.352390e+00	2.817702e+02	9.174793e+00
1.428907e+00	1.298977e+00	9.639991e+01	3.699953e+02
1.493743e+00	1.244286e+00	1.689200e+02	3.477007e+02
1.397250e+00	1.328296e+00	2.519839e+02	6.149810e+02
1.465287e+00	1.267474e+00	3.366330e+02	5.310702e+01
1.412255e+00	1.314077e+00	1.990078e+02	2.144382e+02
1.514422e+00	1.227917e+00	8.196141e+01	5.847910e+02
1.377540e+00	1.346934e+00	5.406315e+02	8.958540e+01
1.376000e+00	1.348438e+00	1.124660e+02	1.064321e+03
1.541813e+00	1.207040e+00	2.592304e+02	1.318440e+02
1.395588e+00	1.329466e+00	2.099059e+02	1.390060e+02
1.468342e+00	1.265244e+00	1.697604e+02	4.948535e+02
1.457197e+00	1.274403e+00	4.429485e+02	1.160971e+02
1.622078e+00	1.150526e+00	2.742210e+02	9.942202e+02
1.392914e+00	1.332169e+00	2.923871e+02	8.920260e+02
1.366879e+00	1.357132e+00	2.213603e+02	6.423087e+01
1.475345e+00	1.259363e+00	8.953968e+02	2.900973e+02
1.529503e+00	1.216138e+00	1.409728e+02	1.342002e+02
1.435626e+00	1.293051e+00	4.324907e+01	5.607682e+02
1.375560e+00	1.348643e+00	4.622216e+02	8.032966e+02
1.463024e+00	1.269437e+00	4.500371e+02	4.580977e+02
1.458401e+00	1.273339e+00	1.175244e+02	4.747776e+02
1.502931e+00	1.236661e+00	1.663441e+02	1.009462e+02
1.379002e+00	1.345383e+00	9.443874e+01	6.660887e+02
1.630782e+00	1.144717e+00	6.514210e+01	1.601412e+02
1.435144e+00	1.293670e+00	8.435091e+02	7.212447e+01
1.382972e+00	1.341620e+00	9.262386e+00	3.680524e+02
1.417229e+00	1.309706e+00	1.319232e+03	9.527744e+02
1.637021e+00	1.140904e+00	3.400188e+02	1.473574e+03
1.504145e+00	1.236099e+00	8.831967e+02	1.792363e+03
1.468352e+00	1.264934e+00	9.975454e+01	4.728439e+02
1.441817e+00	1.287777e+00	1.382542e+01	1.232465e+03
1.450754e+00	1.280043e+00	1.234725e-01	2.293709e+03
1.391832e+00	1.333195e+00	6.295504e+02	4.247889e+02
1.414491e+00	1.312095e+00	4.650720e+02	5.474318e+01
1.681812e+00	1.112802e+00	4.683609e+02	5.952500e+02
1.398913e+00	1.326452e+00	3.878471e+02	6.150615e+01
1.379968e+00	1.344568e+00	5.397390e+01	3.720402e+02
1.456649e+00	1.274795e+00	1.069676e+01	1.391140e+03
1.535699e+00	1.211566e+00	7.892827e+02	7.175773e+02
1.380884e+00	1.343743e+00	3.065405e+02	8.343543e+02
1.610364e+00	1.158370e+00	2.848833e+01	5.989436e+02
1.597880e+00	1.166992e+00	2.797579e+02	6.396979e+01
1.548588e+00	1.202053e+00	6.429398e-01	2.041354e+03
1.375674e+00	1.348825e+00	7.791729e+02	5.344578e+02
1.400473e+00	1.325095e+00	3.143509e+01	7.564923e+02
1.449388e+00	1.281012e+00	1.132921e+02	9.881116e+02
1.386306e+00	1.338380e+00	3.774795e+02	2.750321e+02
1.387915e+00	1.336915e+00	1.171944e+02	4.687985e+02
1.507626e+00	1.233121e+00	1.742323e+02	1.665638e+01
1.449249e+00	1.281144e+00	6.381132e+01	5.778873e+02
1.475522e+00	1.259222e+00	9.172338e+02	2.493804e+02
1.524239e+00	1.220230e+00	1.381500e+02	1.167093e+03
1.466405e+00	1.266600e+00	9.400108e+01	6.335640e+02
1.532484e+00	1.213885e+00	2.387474e+02	2.767143e+01
1.412837e+00	1.313645e+00	4.620503e+02	6.149911e+02
1.523745e+00	1.220751e+00	7.244829e+02	8.104209e+02
1.422756e+00	1.304780e+00	6.651835e+02	9.511809e+02
1.362737e+00	1.361671e+00	1.467478e+02	1.118522e+03
1.455724e+00	1.275578e+00	3.975736e+02	2.353660e+02
1.519983e+00	1.223888e+00	7.601326e+02	1.077746e+02
1.404010e+00	1.322229e+00	6.559849e+02	8.830413e+02
1.368048e+00	1.355990e+00	2.034816e+02	1.329773e+01
1.373064e+00	1.351119e+00	1.768012e+02	4.210243e+01
1.413009e+00	1.313275e+00	2.385533e+02	1.325130e+02
1.489457e+00	1.247343e+00	1.742659e+01	5.679977e+02
1.362441e+00	1.361601e+00	3.123599e+02	5.233286e+01
1.381330e+00	1.343285e+00	1.163047e+03	2.590576e+02
1.385628e+00	1.339182e+00	1.001153e+02	1.040216e+03
1.459456e+00	1.272475e+00	5.834830e+02	1.066886e+03
1.672828e+00	1.118212e+00	1.908154e+02	1.528507e+02
1.583842e+00	1.176983e+00	1.947546e+02	1.444907e+03
1.690751e+00	1.107169e+00	5.697314e+01	1.069549e+03
1.517393e+00	1.225445e+00	2.524342e+02	1.719082e+01
1.455609e+00	1.276024e+00	3.402335e+02	9.109276e+02
1.487870e+00	1.248805e+00	5.232955e+01	5.949943e+02
