1.371383859589726528e+00 7.624545345608841451e+00
1.289772312918586072e+00 8.518570034885970088e+00
1.551454139683072331e+00 8.624754451143633815e+00
1.443547444471322549e+00 8.532571698561284279e+00
1.427582691077588839e+00 1.093419746922539559e+01
1.507236713171839826e+00 8.531276257222819126e+00
1.487285793189822014e+00 9.773066217170484293e+00
1.495714151778861245e+00 8.711274359876711060e+00
1.426621661416527909e+00 8.324390889646899439e+00
1.367982036073838614e+00 8.963705942903647639e+00
1.445707219243374642e+00 1.105878645930288684e+01
1.497938021790705898e+00 1.003669240685350417e+01
1.419738095998367866e+00 7.937580300365575603e+00
1.483776099110173163e+00 1.065587478145696387e+01
1.510147059620145837e+00 1.034384505699106427e+01
1.375311212479185530e+00 7.768882344583348143e+00
1.486768117481303220e+00 9.365645283720152037e+00
1.423796860287973143e+00 8.426371782098918573e+00
1.480976578652120068e+00 1.013950989614489906e+01
1.380067800051331561e+00 9.043898951537657993e+00
1.525121864608870226e+00 9.564813079359128167e+00
1.452468463455429459e+00 8.884146482605464357e+00
1.446308550996024067e+00 9.121791325728473510e+00
1.479353130056545895e+00 9.392379838411853754e+00
1.373561142278564295e+00 8.110736615606075617e+00
1.325460681372137683e+00 8.709403895399489670e+00
1.517266912682620816e+00 9.045254903546778635e+00
1.553517322636986719e+00 8.279798999067493170e+00
1.434306182946955222e+00 9.977554607504691475e+00
1.430919371024502951e+00 9.949179532765658251e+00
1.452502209059241878e+00 9.808677368046398115e+00
1.430335480139300008e+00 8.680399258783008776e+00
1.403396886733302207e+00 8.097880831525914758e+00
1.430152766095279082e+00 9.627662585651961535e+00
1.428799635649179001e+00 8.527241637424410214e+00
1.475574599929682540e+00 1.161831422481639819e+01
1.436567417881661424e+00 9.471413462583416987e+00
1.506881571314167223e+00 8.420480256761194937e+00
1.484685233743914923e+00 9.720397022686078969e+00
1.479976802696531424e+00 1.110572867556995291e+01
1.369232857432917339e+00 7.928897900263867982e+00
1.377530123407778806e+00 8.914826480280119370e+00
1.420270673222503666e+00 8.998700143908084925e+00
1.438190186688458549e+00 9.844125071488333489e+00
1.399540277633913865e+00 8.136622622278810724e+00
1.529723877982627656e+00 9.849577612229118984e+00
1.320502641414711409e+00 9.780138160639513245e+00
1.354165522642954311e+00 8.180250723096511578e+00
1.473319955452590646e+00 8.825574257310687898e+00
1.485498793409289364e+00 8.997012253154231587e+00
1.433351616846085808e+00 9.905621622743929322e+00
1.421120329426253992e+00 9.288313425668906831e+00
1.544909145650706028e+00 9.533276765370676031e+00
1.416638221861103997e+00 7.727859449187640450e+00
1.458668984307143202e+00 1.052747242631318692e+01
1.456021636339863701e+00 1.020625079432528182e+01
1.476378538754245184e+00 1.000690506291585535e+01
1.386569798064441583e+00 7.928819763275005705e+00
1.465974458989513840e+00 1.049554332476288110e+01
1.490336192031477047e+00 1.019875774484745534e+01
1.333130124383163917e+00 7.975699678427679906e+00
1.452864132891344751e+00 8.666722751744281084e+00
1.384494299972864662e+00 1.021233170602372198e+01
1.473054943459343402e+00 8.981608203295248671e+00
1.431901055960214775e+00 9.650425725719790293e+00
1.496122951308775706e+00 9.445948054069923217e+00
1.562411076075830296e+00 1.038177962403726085e+01
1.490532994842238779e+00 8.956738213471970411e+00
1.378521920001559042e+00 8.448703157678338016e+00
1.478317676812608950e+00 8.753188077108926990e+00
1.391611559023185452e+00 7.519112087912469988e+00
1.365788177772861989e+00 9.227945855574382961e+00
1.458736605884928927e+00 8.930218536100205995e+00
1.399479244387556331e+00 8.632853461636763370e+00
1.480736296572791488e+00 1.025918256049877542e+01
1.519912499487777957e+00 9.647757936857436434e+00
1.297796200196964067e+00 1.019416536396925466e+01
1.356743352258375834e+00 8.959543011879869567e+00
1.455062397095565840e+00 9.937662738433509446e+00
1.455217706345101725e+00 1.012560675564471069e+01
1.434039397325431731e+00 1.008583363573047720e+01
1.463362251120318813e+00 9.172899938601638326e+00
1.378491842622895369e+00 8.869536787013366563e+00
1.355152831023330062e+00 8.685608002493157898e+00
1.404319702452591745e+00 7.923480052874182888e+00
1.415315041053332612e+00 9.453916376870896698e+00
1.440803145426137410e+00 8.381781271761994390e+00
1.471279818470560885e+00 8.564653369750615752e+00
1.468700404264428272e+00 8.700200104352655117e+00
1.362416109399891884e+00 6.893308532216614992e+00
1.389706144819681244e+00 9.894718335600632741e+00
1.473422993133450598e+00 9.792168081385604239e+00
1.325808385226005637e+00 1.080743164895206121e+01
1.470602176768365021e+00 8.930032334638083213e+00
1.543569322911255037e+00 8.986254165252276493e+00
1.496517334913948671e+00 8.084139407351027984e+00
1.342905852626274044e+00 8.485557668747691906e+00
1.435268823338069044e+00 8.578278521712128679e+00
1.378225675714020548e+00 8.214684062358447392e+00
1.404103616714024394e+00 9.148703088229524383e+00
1.487141837001503708e+00 8.282214398969623304e+00
1.504795826006235071e+00 1.000872930845392972e+01
1.441344213840716426e+00 1.066997754668391529e+01
1.477482710512066255e+00 8.380502601387238570e+00
