# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run C01:IMRPhenomPv2_NRTidal:LowSpin)
1.737990e+00	1.590411e+00	2.787098e+02	7.044315e+02
1.685614e+00	1.594213e+00	7.514740e+02	1.374013e+02
1.774916e+00	1.511228e+00	3.045243e+02	2.143806e+02
1.706614e+00	1.599289e+00	7.282965e+01	9.498231e+02
1.640884e+00	1.605886e+00	3.705572e+03	1.547353e+02
1.636259e+00	1.632448e+00	2.347253e+02	3.198736e+02
1.693271e+00	1.596074e+00	8.547317e+02	5.719095e+01
1.764970e+00	1.583253e+00	1.357252e+02	7.742198e+01
1.815274e+00	1.500481e+00	1.049009e+03	1.817297e+03
1.692963e+00	1.600029e+00	1.325715e+01	2.540685e+02
1.632383e+00	1.623485e+00	4.557200e+01	3.120773e+02
1.758097e+00	1.528896e+00	3.384314e+02	7.039052e+02
1.654922e+00	1.628377e+00	5.038188e+02	4.945591e+02
1.884904e+00	1.496125e+00	2.969270e+02	7.839989e+02
1.763405e+00	1.536153e+00	3.668491e+02	2.345718e+02
1.779388e+00	1.508544e+00	7.383319e+02	7.019478e+02
1.654407e+00	1.588682e+00	8.977988e+02	1.141245e+03
1.734359e+00	1.549363e+00	1.328367e+03	1.944127e+03
1.708380e+00	1.636768e+00	2.130622e+03	4.173226e+02
1.646457e+00	1.636157e+00	8.517643e+02	1.538452e+03
1.687954e+00	1.616599e+00	2.214536e+02	1.159439e+03
1.816231e+00	1.465848e+00	3.921141e+02	2.807913e+03
1.723145e+00	1.605663e+00	8.129932e+01	7.062845e+02
1.923205e+00	1.447261e+00	3.732093e+02	4.030389e+02
1.680257e+00	1.594614e+00	7.221784e+02	1.297655e+01
1.710732e+00	1.601747e+00	4.678100e+02	4.580381e+02
1.785713e+00	1.503236e+00	1.292747e+02	2.839673e+02
1.847607e+00	1.513628e+00	3.440414e+01	2.319829e+02
1.702662e+00	1.597033e+00	2.571326e+02	8.580250e+02
1.762080e+00	1.557396e+00	7.047391e+02	8.970341e+02
1.736796e+00	1.552086e+00	2.953364e+01	1.011605e+02
1.973763e+00	1.353921e+00	3.455009e+00	1.513244e+03
1.698173e+00	1.611523e+00	9.480249e+02	2.122839e+02
1.703485e+00	1.613966e+00	1.717084e+02	1.156646e+02
1.665982e+00	1.635497e+00	2.667959e+03	7.121500e+02
1.764597e+00	1.579899e+00	3.955962e+02	2.575835e+02
1.730348e+00	1.568748e+00	2.037323e+02	9.159455e+01
1.752357e+00	1.549754e+00	6.722344e+02	9.637325e+01
1.905807e+00	1.437832e+00	6.677532e+01	4.638465e+02
1.646729e+00	1.634067e+00	2.100241e+02	9.768313e+01
1.955491e+00	1.410841e+00	3.632383e+01	4.496200e+02
1.783850e+00	1.516051e+00	3.482862e+02	3.233479e+02
1.689848e+00	1.616352e+00	1.439066e+03	1.933540e+03
1.847953e+00	1.452704e+00	3.723407e+02	5.016773e+02
1.746444e+00	1.507940e+00	9.948863e+02	6.722237e+02
1.805908e+00	1.498389e+00	4.266960e+01	1.014108e+03
1.795710e+00	1.535284e+00	4.441466e+02	2.382598e+03
1.898175e+00	1.485740e+00	1.414861e+02	4.461890e+02
1.763704e+00	1.560898e+00	1.435301e+02	4.536388e+02
1.672161e+00	1.644509e+00	1.257521e+03	6.254397e+02
1.748338e+00	1.608761e+00	5.320087e+01	9.983290e+02
1.845131e+00	1.460585e+00	3.454313e+02	1.471499e+02
1.952517e+00	1.409438e+00	6.979418e+01	2.561964e+03
1.684423e+00	1.580454e+00	4.187724e+02	7.983641e+02
1.821095e+00	1.451330e+00	7.568236e+01	2.765011e+02
1.753950e+00	1.572137e+00	8.758220e+02	3.803951e+02
1.650216e+00	1.642119e+00	7.134053e+02	6.879520e+02
1.758493e+00	1.545357e+00	3.257384e+02	4.234034e+00
1.696769e+00	1.589449e+00	3.588600e+02	2.702303e+03
1.693323e+00	1.614041e+00	1.773636e+03	7.967970e+02
1.951212e+00	1.361117e+00	9.168182e+01	5.251287e+02
1.761425e+00	1.578320e+00	3.456182e+02	2.791512e+02
1.859506e+00	1.448233e+00	3.004494e+02	2.294529e+02
1.823630e+00	1.480532e+00	9.463935e+01	3.114441e+02
1.875509e+00	1.482197e+00	3.023745e+02	2.736412e+03
1.761850e+00	1.584261e+00	2.017595e+02	3.537924e+02
2.027972e+00	1.361932e+00	1.512061e+02	6.451450e+02
1.919435e+00	1.381011e+00	2.280586e+02	1.175095e+03
1.643922e+00	1.631283e+00	2.100241e+02	9.768313e+01
1.892424e+00	1.439366e+00	3.370061e+01	1.237302e+03
1.732162e+00	1.579555e+00	8.636908e+02	1.693344e+02
1.716960e+00	1.634286e+00	3.506927e+02	1.761305e+02
1.871081e+00	1.497462e+00	4.088079e+02	2.773152e+02
1.771729e+00	1.541119e+00	3.321484e+02	3.842682e+02
1.766932e+00	1.574073e+00	6.873377e+01	4.449512e+02
1.747579e+00	1.555870e+00	4.827521e+02	6.794416e+02
1.862146e+00	1.442605e+00	4.172609e+02	2.091494e+02
1.669278e+00	1.602759e+00	2.830173e+02	3.172679e+02
1.741607e+00	1.585841e+00	2.267302e+02	2.461817e+02
1.872699e+00	1.445952e+00	8.976728e+02	3.297779e+02
1.717386e+00	1.585246e+00	5.130874e+02	3.067907e+02
1.668074e+00	1.661509e+00	2.578601e+02	5.180450e+01
1.826544e+00	1.486410e+00	1.306727e+02	9.814031e+01
1.724749e+00	1.562257e+00	8.017399e+02	2.376546e+02
1.810183e+00	1.568861e+00	4.914942e+02	1.606728e+03
1.637530e+00	1.635146e+00	2.755682e+01	5.101042e+02
1.753984e+00	1.569731e+00	4.536954e+02	6.167196e+02
1.763922e+00	1.535711e+00	1.568276e+03	1.401889e+03
1.708521e+00	1.623938e+00	4.983536e+02	2.477686e+02
1.708146e+00	1.567327e+00	6.792089e+01	6.960331e+02
1.709143e+00	1.626328e+00	1.124879e+02	6.380040e+02
1.924940e+00	1.448750e+00	5.802790e+02	3.412432e+03
1.784895e+00	1.538476e+00	9.101517e+02	9.839169e+01
1.816921e+00	1.474656e+00	5.402012e+01	1.527790e+02
1.728220e+00	1.611481e+00	1.022351e+03	9.073188e+02
1.721967e+00	1.561902e+00	2.387506e+02	1.543441e+03
1.818400e+00	1.541329e+00	1.010292e+02	2.609425e+01
1.756016e+00	1.534074e+00	1.017255e+03	1.010181e+03
1.810161e+00	1.507602e+00	1.397570e+02	1.983655e+03
1.836455e+00	1.517358e+00	2.326038e+01	1.037428e+03
1.835127e+00	1.439253e+00	4.445087e+02	5.360449e+02
1.829729e+00	1.524616e+00	1.466984e+02	5.515784e+02
1.791503e+00	1.493800e+00	7.690785e+02	5.570033e+02
1.797611e+00	1.523519e+00	1.583554e+02	2.038591e+03
1.691713e+00	1.572158e+00	8.233745e+02	5.488618e+02
1.901681e+00	1.445660e+00	1.088618e+02	1.313684e+03
1.670851e+00	1.568406e+00	1.502327e+03	6.470175e+02
1.865982e+00	1.472636e+00	5.573423e+01	5.367866e+02
1.787853e+00	1.513921e+00	5.645619e+02	6.009715e+03
1.796774e+00	1.497055e+00	5.254375e+01	8.152475e+02
1.914378e+00	1.472256e+00	6.288773e+01	6.909165e+02
1.668953e+00	1.655297e+00	1.423443e+03	4.917575e+03
1.757731e+00	1.540235e+00	6.288530e+02	8.006597e+02
1.686476e+00	1.619307e+00	3.456543e+02	3.982579e+01
1.653984e+00	1.603635e+00	6.101302e+02	1.361504e+03
1.749822e+00	1.609499e+00	6.694124e+02	2.782751e+02
1.848232e+00	1.430487e+00	1.030654e+02	7.805492e+01
1.803850e+00	1.521087e+00	3.013922e+01	1.147148e+02
1.774018e+00	1.550219e+00	4.815872e+02	2.424261e+02
1.709667e+00	1.604128e+00	6.675882e+02	1.661222e+01
1.828317e+00	1.524329e+00	7.186596e+01	7.424595e+02
1.891933e+00	1.472117e+00	2.532859e+02	1.784277e+02
1.741455e+00	1.635314e+00	9.934617e+01	8.196119e+02
1.680824e+00	1.609305e+00	5.275274e+02	3.265672e+02
1.851396e+00	1.481990e+00	1.977075e+02	1.015775e+03
1.645003e+00	1.625775e+00	6.298792e+02	3.402118e+02
1.667049e+00	1.606795e+00	1.743026e+02	1.906606e+02
1.783437e+00	1.488097e+00	2.475041e+02	1.614304e+02
1.671237e+00	1.637259e+00	5.598949e+01	6.542096e+02
1.723845e+00	1.576551e+00	2.458322e+02	6.243029e+02
1.786600e+00	1.536552e+00	2.850924e+02	5.337429e+01
1.742665e+00	1.533866e+00	4.079314e+02	8.431642e+00
1.723666e+00	1.571303e+00	5.569628e+02	4.105505e+01
1.772533e+00	1.574314e+00	1.638691e+02	2.886535e+02
1.671377e+00	1.604047e+00	4.141713e+02	2.122791e+02
1.694737e+00	1.627743e+00	3.474373e+02	4.310165e+02
1.851258e+00	1.489941e+00	7.512469e+02	3.785466e+01
1.729401e+00	1.590697e+00	8.271661e+02	2.036224e+03
1.873749e+00	1.465542e+00	4.162401e+02	1.462973e+02
1.705225e+00	1.608057e+00	7.241095e+01	3.713677e+03
1.718867e+00	1.592043e+00	7.168800e+01	1.850635e+02
1.810459e+00	1.487830e+00	4.067529e+01	2.302851e+01
1.909133e+00	1.454016e+00	2.615077e+02	7.608420e+02
1.755870e+00	1.557535e+00	4.720823e+02	4.513457e+02
1.691760e+00	1.599297e+00	2.581662e+02	5.800626e+02
1.785536e+00	1.496376e+00	1.146465e+02	1.646419e+02
1.753903e+00	1.590213e+00	3.464363e+02	1.056434e+02
1.665442e+00	1.613757e+00	4.239235e+02	2.959770e+02
1.677693e+00	1.607945e+00	2.535097e+02	9.841658e+02
1.650358e+00	1.615935e+00	9.681959e+02	5.502780e+02
1.683624e+00	1.597547e+00	4.212664e+02	1.581829e+02
1.656982e+00	1.615274e+00	1.889058e+03	9.800860e+02
1.657338e+00	1.615030e+00	1.994124e+02	1.490701e+03
1.858930e+00	1.441216e+00	1.096217e+03	7.093571e+02
1.901984e+00	1.439637e+00	4.910671e+00	1.323855e+01
1.827019e+00	1.519633e+00	1.797194e+02	1.134207e+03
1.806166e+00	1.464325e+00	1.037634e+03	5.074396e+02
1.703635e+00	1.584913e+00	6.476379e+02	7.343561e+02
1.746777e+00	1.574886e+00	1.721426e+02	7.468920e+02
1.766564e+00	1.529449e+00	1.018994e+03	3.987755e+02
1.658627e+00	1.610792e+00	1.822818e+02	5.997609e+01
1.666485e+00	1.656376e+00	1.308362e+03	3.899895e+02
1.725426e+00	1.583772e+00	2.392633e+02	9.414860e+02
1.976855e+00	1.373076e+00	5.922335e+01	3.805851e+02
1.776765e+00	1.520999e+00	1.312514e+02	2.803413e+02
1.687131e+00	1.556153e+00	5.754278e+02	1.168520e+03
1.658115e+00	1.649339e+00	4.503357e+02	2.197843e+02
1.904796e+00	1.455078e+00	2.029241e+01	3.746252e+02
1.698654e+00	1.575914e+00	1.315674e+02	6.540034e+02
1.822980e+00	1.473260e+00	3.677840e+02	4.745135e+02
1.685851e+00	1.639365e+00	5.265902e+02	2.967842e+02
1.635157e+00	1.629010e+00	6.658721e+01	3.911321e+02
1.719289e+00	1.594295e+00	7.103459e+02	6.065259e+02
1.883192e+00	1.463143e+00	6.789648e+01	6.565920e+02
1.639012e+00	1.626134e+00	2.631936e+01	2.472485e+02
1.665619e+00	1.608501e+00	2.596910e+03	1.088275e+03
1.808307e+00	1.509057e+00	2.690011e+02	1.067713e+03
1.878584e+00	1.480850e+00	1.317362e+02	1.726779e+01
1.651535e+00	1.641641e+00	4.019603e+02	3.844330e+02
1.745539e+00	1.598211e+00	4.608988e+02	5.938736e+01
2.020632e+00	1.394440e+00	9.727482e+02	7.974413e+02
1.696545e+00	1.607488e+00	1.265437e+03	5.642836e+02
1.926051e+00	1.406994e+00	1.584615e+02	1.734439e+03
1.754338e+00	1.564421e+00	8.554908e+02	2.191233e+02
1.710650e+00	1.584137e+00	2.611322e+03	7.325587e+02
1.699086e+00	1.627769e+00	6.632377e+02	1.028556e+03
1.763704e+00	1.561934e+00	3.286822e+02	3.937335e+02
1.893590e+00	1.446246e+00	7.953807e+00	1.058169e+03
1.715801e+00	1.591111e+00	6.178869e+01	3.392649e+03
1.768835e+00	1.535829e+00	3.906260e+02	1.889615e+02
1.700348e+00	1.577055e+00	1.460459e+02	4.003176e+02
1.726733e+00	1.569819e+00	3.007838e+02	2.170234e+02
1.818159e+00	1.508512e+00	5.742892e+02	3.779595e+02
1.751757e+00	1.571797e+00	1.011679e+03	2.134875e+03
1.674616e+00	1.600579e+00	2.959062e+02	1.195346e+02
1.722427e+00	1.552564e+00	2.396099e+03	2.398645e+03
1.682652e+00	1.582218e+00	2.484134e+02	2.498503e+02
1.725578e+00	1.588324e+00	3.555361e+02	3.259350e+02
1.777270e+00	1.563460e+00	5.854343e+02	8.111615e+02
1.746898e+00	1.543334e+00	2.511081e+02	5.197991e+02
1.783627e+00	1.612271e+00	4.032105e+02	8.516168e+02
1.677220e+00	1.574499e+00	2.462956e+02	2.107442e+03
1.906421e+00	1.475642e+00	3.113149e+02	4.666332e+02
1.663652e+00	1.588244e+00	4.440395e+02	4.196064e+03
1.831003e+00	1.471596e+00	9.701739e+01	6.567282e+02
1.680043e+00	1.629552e+00	1.187535e+02	4.441534e+02
1.899134e+00	1.435555e+00	9.635685e+01	5.296472e+02
1.826443e+00	1.482163e+00	7.114636e+02	1.628170e+03
1.790710e+00	1.520966e+00	2.659274e+02	1.011071e+03
1.694494e+00	1.636932e+00	1.766486e+03	1.530093e+03
1.853081e+00	1.482626e+00	4.180370e+02	4.162216e+02
1.768782e+00	1.519320e+00	1.100909e+02	1.924949e+01
1.683000e+00	1.638519e+00	1.730774e+02	2.076926e+00
1.695359e+00	1.606228e+00	3.085259e+01	8.849742e+02
