3.1809141372243885e-12	9.409922361444575e-10	1.e-12
3.1817269835205652e-12	1.0307393277409774e-9	1.0964782e-12
3.182686421947298e-12	1.129145489575194e-9	1.2022644e-12
3.1838197818813284e-12	1.2370463008337454e-9	1.3182567e-12
3.1851596521003638e-12	1.3553579281963096e-9	1.4454398e-12
3.186744147830111e-12	1.4850847584249438e-9	1.5848932e-12
3.188618797325097e-12	1.6273283384118495e-9	1.7378008e-12
3.1908368154634326e-12	1.7832964956737943e-9	1.9054607e-12
3.1934608324412955e-12	1.954313486142287e-9	2.0892961e-12
3.1965643128479857e-12	2.1418315390770477e-9	2.2908677e-12
3.200232254952112e-12	2.3474426772674563e-9	2.5118864e-12
3.20456378256121e-12	2.5728930563237717e-9	2.7542287e-12
3.2096727875960357e-12	2.820096923563429e-9	3.0199517e-12
3.2156898295444005e-12	3.091153466822814e-9	3.3113112e-12
3.22276315925929e-12	3.3883643093708295e-9	3.6307805e-12
3.23106021112538e-12	3.7142533321137925e-9	3.9810717e-12
3.2407682724393472e-12	4.071587699471369e-9	4.3651583e-12
3.252095030227926e-12	4.463401770024163e-9	4.7863009e-12
3.2652688081302775e-12	4.8930225831750075e-9	5.2480746e-12
3.2805382764242163e-12	5.364098136952583e-9	5.7543994e-12
3.2981723322252207e-12	5.880628264686389e-9	6.3095734e-12
3.3184595699234203e-12	6.446998958161403e-9	6.9183097e-12
3.3417077871308798e-12	7.068019010545546e-9	7.5857758e-12
3.368244099444433e-12	7.748961039708922e-9	8.3176377e-12
3.398415551026436e-12	8.495606602727493e-9	9.1201084e-12
3.4325901339259235e-12	9.314294666896643e-9	1.e-11
3.471159213452042e-12	1.0211975851846837e-8	1.0964782e-11
3.514539662963023e-12	1.119627076984103e-8	1.2022644e-11
3.563178818486915e-12	1.2275536375257871e-8	1.3182567e-11
3.6175575467695483e-12	1.345893537973558e-8	1.4454398e-11
3.678195848720802e-12	1.4756512562879356e-8	1.5848932e-11
3.745659171313785e-12	1.6179284109340803e-8	1.7378008e-11
3.8205644199215656e-12	1.7739328802224537e-8	1.9054607e-11
3.90358616518682e-12	1.9449889461502546e-8	2.0892961e-11
3.995464921936804e-12	2.1325488328363834e-8	2.2908677e-11
4.097013662735707e-12	2.338204524924106e-8	2.5118864e-11
4.2091286554870625e-12	2.5637020977936003e-8	2.7542287e-11
4.3327960864970056e-12	2.8109556763401512e-8	3.0199517e-11
4.46910401521657e-12	3.0820642757287246e-8	3.3113112e-11
4.619252676260541e-12	3.379329298184463e-8	3.6307805e-11
4.784566800607132e-12	3.7052743500012147e-8	3.9810717e-11
4.96650902179816e-12	4.0626662744850726e-8	4.3651583e-11
5.1666948221967286e-12	4.4545390634394496e-8	4.7863009e-11
5.386910278948056e-12	4.884219355948915e-8	5.2480746e-11
5.6291285774670915e-12	5.3553547245576115e-8	5.7543994e-11
5.895532875092616e-12	5.871944570780563e-8	6.3095734e-11
6.188539070491684e-12	6.43837445892922e-8	6.9183097e-11
6.510822010536121e-12	7.059452781274485e-8	7.5857758e-11
