R_km,M_sun
1.054672664008198879e+01,1.333156076120772138e+00
1.061700354855978290e+01,1.332584450001281118e+00
1.068728045703757878e+01,1.332184961154438074e+00
1.075755736551537289e+01,1.331951758834712951e+00
1.082783427399316878e+01,1.331876382472090059e+00
1.089811118247096289e+01,1.331947677827339360e+00
1.096838809094875877e+01,1.332151660715787278e+00
1.103866499942655466e+01,1.332471512617446674e+00
1.110894190790434877e+01,1.332888128219349211e+00
1.117921881638214465e+01,1.333381637890980187e+00
1.122627422470881875e+01,1.333745785889570490e+00
1.124949572485993876e+01,1.333904411619900809e+00
1.131977263333773465e+01,1.334408862083300118e+00
1.139004954181552876e+01,1.334944907018481564e+00
1.146032645029332464e+01,1.335507514041399446e+00
1.153060335877112053e+01,1.336090481679814923e+00
1.160088026724891463e+01,1.336681943169326647e+00
1.160228212513787049e+01,1.336693069349311092e+00
1.167115717572671052e+01,1.337182209029308622e+00
1.174143408420450463e+01,1.337644962499338508e+00
1.181171099268230051e+01,1.338042845003134529e+00
1.188198790116009640e+01,1.338350851098419669e+00
1.195226480963789228e+01,1.338556314572107109e+00
1.202254171811568639e+01,1.338665393792053182e+00
1.209281862659348050e+01,1.338704636821135052e+00
1.216309553507127461e+01,1.338716725470461943e+00
1.223337244354907050e+01,1.338752153454557892e+00
1.230364935202686638e+01,1.338859737362546820e+00
1.237392626050466049e+01,1.339077946690901078e+00
1.244420316898245638e+01,1.339427630987306994e+00
1.247587736367482592e+01,1.339640352809051693e+00
1.251448007746025048e+01,1.339871793562850355e+00
1.258475698593804637e+01,1.340375190158439533e+00
1.265503389441584048e+01,1.340924829467204482e+00
1.272531080289363636e+01,1.341479190142181421e+00
1.279558771137143047e+01,1.342013741187256137e+00
1.286586461984922636e+01,1.342534741361703476e+00
1.287283828551928266e+01,1.342587636268792295e+00
1.293614152832702224e+01,1.343020767214206490e+00
1.300641843680481635e+01,1.343590568944736718e+00
1.307669534528261224e+01,1.344338777925519368e+00
1.314697225376040635e+01,1.345371457113785807e+00
1.315566123520663844e+01,1.345534919728533119e+00
1.321724916223820223e+01,1.346687540904997427e+00
1.328728953340259089e+01,1.348482203188273498e+00
1.328752607071599634e+01,1.348488495347462957e+00
1.335780297919379223e+01,1.350741982208288672e+00
1.337597026038970860e+01,1.351429486648014100e+00
1.342807988767158633e+01,1.353581427945885540e+00
1.344561811439444554e+01,1.354376770107754480e+00
1.349835679614938222e+01,1.357063635361144716e+00
1.350326931358716109e+01,1.357324053567494859e+00
1.355315673557965539e+01,1.360271337027235683e+00
1.356863370462717810e+01,1.361345642451220916e+00
1.359569592566413476e+01,1.363218620486976285e+00
1.363069540295464144e+01,1.366165903946716886e+00
1.363891061310497221e+01,1.366999002311882094e+00
1.366030748887943957e+01,1.369113187406457488e+00
1.368369357454381685e+01,1.372060470866198090e+00
1.370109324127641770e+01,1.375007754325938691e+00
1.370918752158276810e+01,1.376880792419437949e+00
1.371413152506005595e+01,1.377955037785679293e+00
1.372368817854627210e+01,1.380902321245419895e+00
1.372951687220102457e+01,1.383849604705160496e+00
1.373229951436166196e+01,1.386796888164901098e+00
1.373261612071054927e+01,1.389744171624641478e+00
1.373096795729986042e+01,1.392691455084382079e+00
1.372779537614387557e+01,1.395638738544122681e+00
1.372349079187927678e+01,1.398586022003863283e+00
1.371840679707395871e+01,1.401533305463604107e+00
1.371285916674263383e+01,1.404480588923344486e+00
1.370918752158276810e+01,1.406377835033799206e+00
1.370746708562642091e+01,1.407427872383085088e+00
1.370274311621163044e+01,1.410375155842825690e+00
1.369821724991738776e+01,1.413322439302566291e+00
1.369395564635723694e+01,1.416269722762306893e+00
1.368996060404124115e+01,1.419217006222047495e+00
1.368617005812939347e+01,1.422164289681788096e+00
1.368246300045510822e+01,1.425111573141528698e+00
1.367867169269904437e+01,1.428058856601269078e+00
1.367459981330253171e+01,1.431006140061009679e+00
1.367004397959159867e+01,1.433953423520750281e+00
1.366481513430783501e+01,1.436900706980490883e+00
1.365875650148006137e+01,1.439847990440231706e+00
1.365175607482744624e+01,1.442795273899972086e+00
1.364375332138060593e+01,1.445742557359712688e+00
1.363891061310497221e+01,1.447342084313403943e+00
1.363534060942146020e+01,1.448689840819453289e+00
1.362679721173534730e+01,1.451637124279193891e+00
1.361752414156952007e+01,1.454584407738934493e+00
1.360766436605248408e+01,1.457531691198675095e+00
1.359739903385823645e+01,1.460478974658415696e+00
1.358694433796430445e+01,1.463426258118155854e+00
1.357654801102640363e+01,1.466373541577896678e+00
1.356863370462717810e+01,1.468710265428003536e+00
1.356678331111218760e+01,1.469320825037637279e+00
1.355866295975872227e+01,1.472268108497377881e+00
1.355131736265470721e+01,1.475215391957118483e+00
1.354493833362497490e+01,1.478162675416859084e+00
1.353965633210729358e+01,1.481109958876599686e+00
1.353551083293349855e+01,1.484057242336340288e+00
1.353242444023180013e+01,1.487004525796080889e+00
1.353018982106509327e+01,1.489951809255821491e+00
1.352847811372087072e+01,1.492899092715561871e+00
1.352687248706165413e+01,1.495846376175302916e+00
1.352492195558739141e+01,1.498793659635043074e+00
1.352220232645143305e+01,1.501740943094783676e+00
1.351836798472983325e+01,1.504688226554524277e+00
1.351318204887592067e+01,1.507635510014264879e+00
1.350652083342345655e+01,1.510582793474005259e+00
1.349835679614938222e+01,1.513530076933746082e+00
1.349835679614938222e+01,1.513530076933746082e+00
1.348965396754829804e+01,1.516477360393486684e+00
1.347973038070337104e+01,1.519424643853227286e+00
1.346870472428557441e+01,1.522371927312967888e+00
1.345667816843797837e+01,1.525319210772708489e+00
1.344371431735977396e+01,1.528266494232449091e+00
1.342982642454729891e+01,1.531213777692189471e+00
1.342807988767158633e+01,1.531561934522429613e+00
1.341622080251432081e+01,1.534161061151930072e+00
1.340198539252968146e+01,1.537108344611670674e+00
1.338688348543512419e+01,1.540055628071411276e+00
1.337078615302556805e+01,1.543002911531151877e+00
1.335780297919379223e+01,1.545228749024547543e+00
1.335391116642830944e+01,1.545950194990892479e+00
1.333715050144503778e+01,1.548897478450633081e+00
1.331924392965249382e+01,1.551844761910373682e+00
1.329999623529991126e+01,1.554792045370114506e+00
1.328752607071599634e+01,1.556579967322979652e+00
1.327997689778537627e+01,1.557739328829854886e+00
1.325980876634058347e+01,1.560686612289595487e+00
1.323821155628959367e+01,1.563633895749335867e+00
