R_km,M_sun
1.005478828073742115e+01,1.054485195132121245e+00
1.012506518921521703e+01,1.054299509232264231e+00
1.019534209769301292e+01,1.054581892932773268e+00
1.020668239359891771e+01,1.054698288660191441e+00
1.026561900617080703e+01,1.055224657758720763e+00
1.033589591464860291e+01,1.056199551860265595e+00
1.040617282312639880e+01,1.057464731171164019e+00
1.047644973160419468e+01,1.058936087821152228e+00
1.051656243213926345e+01,1.059817327540188758e+00
1.054672664008198879e+01,1.060409710231039915e+00
1.061700354855978290e+01,1.061762193705306112e+00
1.068728045703757878e+01,1.063087381772796824e+00
1.075755736551537289e+01,1.064403844693945889e+00
1.078567964657394285e+01,1.064936366420185854e+00
1.082783427399316878e+01,1.065667869529741463e+00
1.089811118247096289e+01,1.067016877588978341e+00
1.096838809094875877e+01,1.068634721344741578e+00
1.101982777183452100e+01,1.070055405300183171e+00
1.103866499942655466e+01,1.070550696620188980e+00
1.110894190790434877e+01,1.072695394924140233e+00
1.117578658304003980e+01,1.075174444180180489e+00
1.117921881638214465e+01,1.075299482344478585e+00
1.124949572485993698e+01,1.078128299854173466e+00
1.129594021526191305e+01,1.080293483060177806e+00
1.131977263333773465e+01,1.081416118885128785e+00
1.139004954181552876e+01,1.085091788006157909e+00
1.139588349728566996e+01,1.085412521940174901e+00
1.146032645029332642e+01,1.089032215368268108e+00
1.148601582378180552e+01,1.090531560820172441e+00
1.153060335877112053e+01,1.093174730176097675e+00
1.157318309979087267e+01,1.095650599700169536e+00
1.160088026724891463e+01,1.097257029071788015e+00
1.166660397243290603e+01,1.100769638580166632e+00
1.167115717572671052e+01,1.101006002999110889e+00
1.174143408420450463e+01,1.104080887966840674e+00
1.179152930093421681e+01,1.105888677460163949e+00
1.181171099268230051e+01,1.106561088785033675e+00
1.188198790116009462e+01,1.108356680951189777e+00
1.195226480963789228e+01,1.109721372201963874e+00
1.202254171811568284e+01,1.110799591976863843e+00
1.203767040590524040e+01,1.111007716340161267e+00
1.209281862659348050e+01,1.111685638328579806e+00
1.216309553507127461e+01,1.112616981746238132e+00
1.223337244354907050e+01,1.113775843188506975e+00
1.230364935202686638e+01,1.115297622166244729e+00
1.233373705594937064e+01,1.116126755220158362e+00
1.237392626050466049e+01,1.117172458577979866e+00
1.244420316898245460e+01,1.119442516628762707e+00
1.249125183710417630e+01,1.121245794100155679e+00
1.251448007746025226e+01,1.122120156097803356e+00
1.258475698593804637e+01,1.125074217990356118e+00
1.261327687837550116e+01,1.126364832980152997e+00
1.265503389441584048e+01,1.128270544780299200e+00
1.272079143012206792e+01,1.131483871860150092e+00
1.272531080289363636e+01,1.131709275205116771e+00
1.279558771137143047e+01,1.135298267037983422e+00
1.281964840244548753e+01,1.136602910740147410e+00
1.286586461984922636e+01,1.139193458500860068e+00
1.290762859080891545e+01,1.141721949620144727e+00
1.293614152832702224e+01,1.143521870074501567e+00
1.298439211050820319e+01,1.146840988500141822e+00
1.300641843680481635e+01,1.148437749968461929e+00
1.305087075802320840e+01,1.151960027380139140e+00
1.307669534528261224e+01,1.154148132364352985e+00
1.310844573946474334e+01,1.157079066260136457e+00
1.314697225376040635e+01,1.160956101268690643e+00
1.315841039724982764e+01,1.162198105140133553e+00
1.320214515730351934e+01,1.167317144020130870e+00
1.321724916223820401e+01,1.169261418508847683e+00
1.324066921940928765e+01,1.172436182900128188e+00
1.327453831659777350e+01,1.177555221780125283e+00
1.328752607071599634e+01,1.179718202761054879e+00
1.330495320796671166e+01,1.182674260660122600e+00
1.333227393813904982e+01,1.187793299540119918e+00
1.335632492550890049e+01,1.192912338420117235e+00
1.335780297919379223e+01,1.193248704632563939e+00
1.337938466444169450e+01,1.198031377300114331e+00
1.340010095544349511e+01,1.203150416180111648e+00
1.341871752460807166e+01,1.208269455060108966e+00
1.342807988767158633e+01,1.211056431443997994e+00
1.343644331205001308e+01,1.213388493940106505e+00
1.345361313027586903e+01,1.218507532820103378e+00
1.346938804372602227e+01,1.223626571700100696e+00
1.348400068918130579e+01,1.228745610580098013e+00
1.349765472097059593e+01,1.233864649460095109e+00
1.349835679614938222e+01,1.234135038476814605e+00
1.351227031900497266e+01,1.238983688340092426e+00
1.352623335506707036e+01,1.244102727220089744e+00
1.353957501124170548e+01,1.249221766100086839e+00
1.355239051767789960e+01,1.254340804980084156e+00
1.356473670057845027e+01,1.259459843860081474e+00
1.356863370462717810e+01,1.261106686756490181e+00
1.357794759132605833e+01,1.264578882740078569e+00
1.359118313796074951e+01,1.269697921620075887e+00
1.360372345713543929e+01,1.274816960500073204e+00
1.361547880959903800e+01,1.279935999380070299e+00
1.362634879066930793e+01,1.285055038260067617e+00
1.363623459049529352e+01,1.290174077140064934e+00
1.363891061310497221e+01,1.291706297992566199e+00
1.364607813283772408e+01,1.295293116020062030e+00
1.365495837416900748e+01,1.300412154900059569e+00
1.366238491745040662e+01,1.305531193780056665e+00
1.366836644007690005e+01,1.310650232660053760e+00
1.367294313967903996e+01,1.315769271540051077e+00
1.367618156574578592e+01,1.320888310420048395e+00
1.367816836572454164e+01,1.326007349300045490e+00
1.367900370010022648e+01,1.331126388180042808e+00
1.367879482948023906e+01,1.336245427060040125e+00
1.367765017473750078e+01,1.341364465940037221e+00
1.367567403298167150e+01,1.346483504820034538e+00
1.367296209425925824e+01,1.351602543700031855e+00
1.366959791510110378e+01,1.356721582580028951e+00
1.366565051830123778e+01,1.361840621460026046e+00
