R_km,M_sun
9.465710524186063068e+00,3.788028282057901985e-01
9.508328209771953254e+00,3.770466154456555419e-01
9.550945895357841664e+00,3.762611025589384650e-01
9.593563580943730074e+00,3.760450102788708837e-01
9.636181266529620260e+00,3.760580505045347244e-01
9.678798952115508669e+00,3.760697229816947762e-01
9.721416637701398855e+00,3.759807880872685359e-01
9.764034323287287265e+00,3.758032814100774055e-01
9.806652008873175674e+00,3.756146432317559736e-01
9.849269694459064084e+00,3.755119720679969131e-01
9.891887380044954270e+00,3.755819390324141582e-01
9.934505065630842680e+00,3.758878300224686719e-01
9.977122751216732865e+00,3.764684661266143872e-01
1.001974043680262128e+01,3.773436636300628311e-01
1.006235812238850968e+01,3.785228355747447537e-01
1.010497580797439987e+01,3.800143721203504410e-01
1.013110405793453594e+01,3.811145975524136142e-01
1.014759349356028828e+01,3.817565785114164223e-01
1.019021117914617847e+01,3.836896030833099047e-01
1.023282886473206688e+01,3.859536700391315023e-01
1.027087384942026560e+01,3.882747886028746209e-01
1.027544655031795529e+01,3.885363951840524743e-01
1.031806423590384547e+01,3.911748221252893676e-01
1.036068192148973388e+01,3.940707830804857648e-01
1.038007589976001022e+01,3.954349796533356276e-01
1.040329960707562407e+01,3.969637525383826193e-01
1.044591729266151248e+01,3.997758882948881376e-01
1.048853497824740089e+01,4.025837458610336261e-01
1.048871686171927564e+01,4.025951707037966898e-01
1.053115266383329107e+01,4.050539591013543328e-01
1.057377034941917948e+01,4.075237680381695871e-01
1.061117548041561598e+01,4.097553617542576965e-01
1.061638803500506967e+01,4.100430544809274269e-01
1.065900572059095808e+01,4.124812259569812234e-01
1.070162340617684649e+01,4.151662921426301223e-01
1.072722252087613803e+01,4.169155528047187032e-01
1.074424109176273490e+01,4.180106164205558694e-01
1.078685877734862508e+01,4.209089229686823197e-01
1.082947646293451349e+01,4.239605531733203203e-01
1.083115223104903535e+01,4.240757438551797098e-01
1.087209414852040368e+01,4.267387518300019278e-01
1.091471183410629209e+01,4.293732295858349590e-01
1.094826219523911703e+01,4.312359349056408275e-01
1.095732951969218050e+01,4.317096588537200352e-01
1.099994720527807068e+01,4.336130673736356411e-01
