Mchirp_Msun,LambdaTilde
1.185677281692148144e+00,9.173807759785097105e+00
1.185681495660603435e+00,7.661953777406018240e+00
1.185685709629058504e+00,6.674739470491923399e+00
1.185689923597513573e+00,6.071933190349452225e+00
1.185694137565968864e+00,5.700218573289951962e+00
1.185698351534423933e+00,5.357239663674642216e+00
1.185702565502879002e+00,4.816981587024038447e+00
1.185706779471334293e+00,3.913967946186980296e+00
1.185710993439789362e+00,2.654000957495325608e+00
1.185715207408244432e+00,1.263175389404138649e+00
1.185719421376699723e+00,9.225454290550438863e-02
1.185723635345154792e+00,-5.648199586735362931e-01
1.185727849313610083e+00,-5.801271045296281237e-01
1.185732063282065152e+00,2.706654430194522024e-02
1.185736277250520221e+00,1.166064423688418561e+00
1.185740491218975512e+00,2.738306609998614860e+00
1.185744705187430581e+00,4.673892987990842407e+00
1.185748919155885650e+00,6.950883314977927441e+00
1.185753133124340941e+00,9.604786420642113853e+00
1.185753133124340941e+00,9.604786420642113853e+00
1.185757347092796010e+00,1.183259931652272989e+01
1.185761561061251079e+00,1.442341429687687260e+01
1.185765775029706370e+00,1.747104202561850528e+01
1.185769988998161439e+00,2.100951217646533919e+01
1.185770467443465703e+00,2.141082013496466629e+01
1.185774202966616730e+00,2.389741965189725548e+01
1.185778416935071800e+00,2.671005722959778694e+01
1.185782630903526869e+00,2.925579320392866478e+01
1.185786844871982160e+00,3.124593835547860010e+01
1.185791058840437229e+00,3.264451384062341077e+01
1.185793260913686753e+00,3.321685384928721874e+01
1.185795272808892298e+00,3.362783036463513753e+01
1.185799486777347589e+00,3.462928410735701590e+01
1.185803700745802658e+00,3.608638636581075332e+01
1.185807914714257727e+00,3.814318946355483320e+01
1.185812128682713018e+00,4.081351886748390712e+01
1.185816342651168087e+00,4.403474431380169563e+01
1.185817531652383128e+00,4.502288756360977118e+01
1.185820556619623378e+00,4.708003462322922417e+01
1.185824770588078447e+00,5.024555591209426808e+01
1.185828984556533516e+00,5.387624327730521401e+01
1.185831930358967723e+00,5.682892127793232362e+01
1.185833198524988807e+00,5.787238014213342296e+01
1.185837412493443876e+00,6.190857511787285716e+01
1.185841626461898946e+00,6.693333147731966903e+01
1.185842852351925325e+00,6.863495499225487606e+01
1.185845840430354237e+00,7.213015702023412246e+01
1.185850054398809306e+00,7.803636123800254154e+01
1.185851596506740657e+00,8.044098870657742850e+01
1.185854268367264375e+00,8.407079222743668367e+01
1.185858482335719666e+00,9.049896544134615795e+01
1.185859637228608543e+00,9.224702242089998094e+01
1.185862696304174735e+00,9.641415737903422212e+01
1.185866910272630026e+00,1.022468220477270364e+02
1.185868441460415701e+00,1.040530561352225334e+02
