R_km,M_sun
1.064130385417991320e+01,1.045129289428399222e+00
1.070602787752282126e+01,1.043980507078350772e+00
1.077075190086572931e+01,1.044759207726229100e+00
1.083547592420863737e+01,1.047205228283897727e+00
1.084020400324290812e+01,1.047514090979396295e+00
1.090019994755154364e+01,1.051313969267816617e+00
1.096492397089445170e+01,1.056095546405290131e+00
1.096836358299977832e+01,1.056387714148913748e+00
1.102964799423735798e+01,1.061581422962397880e+00
1.107168394727104399e+01,1.065261337318431423e+00
1.109437201758026603e+01,1.067268999439843435e+00
1.115909604092317409e+01,1.072914779788702200e+00
1.117421007904635744e+01,1.074134960487948875e+00
1.122382006426608214e+01,1.078243484255026585e+00
1.128558936154817793e+01,1.083008583657466328e+00
1.128854408760898842e+01,1.083237855918980586e+00
1.135326811095189647e+01,1.087866794951021010e+00
1.140811455788331585e+01,1.091882206826983781e+00
1.141799213429480275e+01,1.092568042305705589e+00
1.148271615763771081e+01,1.097525370648630538e+00
1.151957209174991448e+01,1.100755829996501234e+00
1.154744018098061886e+01,1.102974830578042464e+00
1.161216420432352692e+01,1.108747807686164988e+00
1.162151239170964701e+01,1.109629453166018909e+00
1.167688822766643497e+01,1.114388876391354088e+00
1.172174492543042845e+01,1.118503076335536139e+00
1.174161225100934303e+01,1.120165108436607326e+00
1.180633627435224753e+01,1.125179245563929786e+00
1.184160155493859001e+01,1.127376699505053814e+00
1.187106029769515558e+01,1.129078529574323531e+00
1.193578432103806364e+01,1.130508986691407536e+00
1.200050834438097169e+01,1.128960218593560549e+00
1.203783071643477953e+01,1.127376699505053814e+00
1.206523236772387797e+01,1.125929817747167050e+00
1.212995639106678603e+01,1.122067026114925703e+00
1.219468041440969230e+01,1.120459201553054340e+00
1.225940443775260036e+01,1.123865309608900631e+00
1.229522596644607901e+01,1.127376699505053814e+00
1.232412846109550841e+01,1.130210603586041751e+00
1.236849062606189520e+01,1.136250322674571267e+00
1.238885248443841647e+01,1.139024029392639914e+00
1.242475747861067603e+01,1.145123945844088720e+00
1.245357650778132275e+01,1.149966185521864137e+00
1.247440859300255056e+01,1.153997569013606173e+00
1.251830053112423258e+01,1.162251019982019518e+00
1.252135581159400246e+01,1.162871192183123847e+00
1.257112775466262100e+01,1.171744815352641300e+00
1.258302455446713708e+01,1.173621786711482429e+00
1.262431627472605911e+01,1.180618438522158753e+00
1.264774857781004513e+01,1.184281819427535298e+00
1.268049663633811619e+01,1.189492061691676206e+00
1.271247260115295319e+01,1.194315406457803430e+00
1.274012345940419877e+01,1.198365684861193659e+00
1.277719662449586124e+01,1.203655483065098064e+00
1.280416539576172497e+01,1.207239308030711111e+00
1.284192064783876752e+01,1.212258499948478452e+00
1.287422953501099698e+01,1.216112931200228786e+00
1.290664467118167558e+01,1.220084996505175212e+00
1.295261498555735002e+01,1.224986554369746017e+00
1.297136869452458185e+01,1.227095096507603955e+00
1.303609271786748991e+01,1.232959077138735982e+00
1.305394598327182543e+01,1.233860177539263692e+00
1.310081674121039796e+01,1.236495099657747954e+00
1.316554076455330602e+01,1.238663832512037821e+00
1.323026478789621230e+01,1.241447507368816483e+00
1.324512424952035694e+01,1.242733800708781366e+00
1.329498881123912035e+01,1.246888349098493443e+00
1.334014047898221378e+01,1.251607423878298597e+00
1.335971283458202663e+01,1.253676379590795475e+00
1.341386152644308005e+01,1.260481047047816050e+00
1.342443685792493469e+01,1.261891114795506086e+00
1.347415469758298912e+01,1.269354670217333503e+00
1.348916088126784274e+01,1.271853596981957102e+00
1.352501415128543449e+01,1.278228293386851178e+00
1.355388490461075079e+01,1.284145046395349876e+00
1.356810057001479208e+01,1.287101916556368630e+00
1.359690953634108368e+01,1.295975539725886083e+00
1.361842959450946999e+01,1.304849162895403536e+00
1.361860892795365707e+01,1.304895153186499179e+00
1.364778609233560935e+01,1.313722786064920989e+00
1.368333295129656335e+01,1.321289601474881614e+00
1.368873852539825364e+01,1.322596409234438664e+00
1.374234312670267677e+01,1.331470032403955894e+00
1.374805697463947141e+01,1.332264907633506912e+00
1.380354362619293518e+01,1.340343655573473569e+00
1.381278099798237946e+01,1.341538644609297171e+00
1.387062598325643847e+01,1.349217278742990800e+00
1.387750502132528752e+01,1.350041982012156527e+00
1.394222904466819557e+01,1.357826479186190261e+00
1.394437593013672050e+01,1.358090901912508253e+00
1.400695306801110007e+01,1.364678170414090452e+00
1.402743484168567889e+01,1.366964525082025927e+00
1.407167709135400990e+01,1.371284485542047626e+00
1.411555592538285353e+01,1.375838148251543380e+00
1.413640111469691618e+01,1.377770543377062840e+00
1.420112513803982424e+01,1.384048035290727618e+00
1.420769419657524679e+01,1.384711771421061055e+00
1.426584916138273229e+01,1.389889528739305824e+00
1.430313943405490740e+01,1.393585394590578286e+00
1.433057318472564035e+01,1.396050106937250179e+00
1.439529720806854662e+01,1.402459017760095961e+00
1.446002123141145645e+01,1.408220405527071062e+00
1.449131799742280080e+01,1.411332640929613635e+00
1.452474525475436096e+01,1.414461002142891610e+00
1.458119800769501850e+01,1.420206264099130866e+00
1.458946927809726901e+01,1.421027382068788647e+00
1.465419330144017707e+01,1.427277008880328379e+00
1.467226027452704429e+01,1.429079887268648541e+00
1.471891732478308512e+01,1.433651621981648194e+00
1.476059159025307110e+01,1.437953510438165772e+00
1.478364134812599318e+01,1.440382427128930942e+00
1.484386837179488161e+01,1.446827133607683447e+00
1.484836537146889768e+01,1.447335922426155497e+00
1.491308939481180573e+01,1.454101252591916138e+00
1.492892314175715995e+01,1.455700756777200899e+00
1.497781341815471379e+01,1.461009437183364845e+00
1.501187313796650535e+01,1.464574379946718352e+00
1.504253744149762184e+01,1.468142446155536351e+00
1.509046738080873773e+01,1.473448003116235805e+00
1.510726146484052990e+01,1.475559517764483797e+00
1.516335615037906948e+01,1.482321626285753258e+00
1.517198548818343617e+01,1.483506775012195300e+00
1.522879254005117744e+01,1.491195249455270933e+00
1.523670951152634245e+01,1.492390334207737368e+00
1.528639297608961733e+01,1.500068872624788163e+00
1.530143353486925051e+01,1.502546175426060060e+00
1.533804690591190223e+01,1.508942495794305838e+00
1.536615755821215856e+01,1.513880576171508618e+00
1.538682552615506793e+01,1.517816118963823291e+00
1.543088158155506662e+01,1.525829850488087835e+00
1.543522106370956593e+01,1.526689742133340522e+00
1.548378347580456094e+01,1.535563365302858418e+00
1.549560560489797467e+01,1.537637724542904261e+00
1.553262644577623064e+01,1.544436988472375649e+00
1.556032962824087917e+01,1.549312734383626600e+00
1.558211054193715128e+01,1.553310611641893324e+00
1.562505365158378723e+01,1.560960734196236155e+00
1.563171397435661625e+01,1.562184234811410777e+00
1.567782418962110924e+01,1.571057857980928230e+00
1.568977767492669528e+01,1.573444542939415713e+00
1.572090774578594541e+01,1.579931481150445904e+00
