R_km,M_sun
9.444465756975876758e+00,1.349161360182580705e+00
9.490384521702718956e+00,1.348248202757339476e+00
9.536303286429561155e+00,1.347449014205768902e+00
9.582222051156405129e+00,1.346831180703735864e+00
9.628140815883247328e+00,1.346425822578940057e+00
9.674059580610091302e+00,1.346235910052624440e+00
9.719978345336933501e+00,1.346245873683418415e+00
9.765897110063775699e+00,1.346428862413495242e+00
9.811815874790619674e+00,1.346752231829974944e+00
9.857734639517461872e+00,1.347183169231326083e+00
9.903653404244305847e+00,1.347695488060949742e+00
9.949572168971148045e+00,1.348276511086282436e+00
9.995490933697993796e+00,1.348931001732256885e+00
1.001300632035981408e+01,1.349216483376742159e+00
1.004140969842483422e+01,1.349627815333539704e+00
1.008732846315167819e+01,1.350410007129668299e+00
1.013324722787852039e+01,1.351335898658894585e+00
1.017916599260536259e+01,1.352426973566417834e+00
1.020102264231347711e+01,1.353029348699362755e+00
1.022508475733220656e+01,1.353635744057567258e+00
1.027100352205904876e+01,1.354963433471438883e+00
1.031692228678589274e+01,1.356492745093621943e+00
1.032641975332267670e+01,1.356842214021982906e+00
1.036284105151273494e+01,1.358093664038925175e+00
1.040875981623957713e+01,1.359864059803251424e+00
1.042765376572097580e+01,1.360655079344603724e+00
1.045467858096642111e+01,1.361718718982595444e+00
1.050059734569326508e+01,1.363663956333160066e+00
1.051877425266257049e+01,1.364467944667224319e+00
1.054651611042010728e+01,1.365632068303394675e+00
1.059243487514694948e+01,1.367631453884828208e+00
1.060733559261742620e+01,1.368280809989844693e+00
1.063835363987379345e+01,1.369595255902201547e+00
1.068427240460063565e+01,1.371578250403975296e+00
1.069643672530265377e+01,1.372093675312465288e+00
1.073019116932747963e+01,1.373546423603197564e+00
1.077610993405432183e+01,1.375585163139820821e+00
1.078343918352023678e+01,1.375906540635085662e+00
1.082202869878116402e+01,1.377715453945295376e+00
1.086222259537517942e+01,1.379719405957706257e+00
1.086794746350800800e+01,1.380033753937804697e+00
1.091386622823485197e+01,1.382618474915840556e+00
1.092923604065058818e+01,1.383532271280326631e+00
1.095978499296169417e+01,1.385533326262979870e+00
1.098613789125679574e+01,1.387345136602947226e+00
1.100570375768853637e+01,1.388768250255973058e+00
1.103775017388818469e+01,1.391158001925567600e+00
1.105162252241537857e+01,1.392186389123876822e+00
1.108898796977874213e+01,1.394970867248188195e+00
