R_km,M_sun
1.365361384264899769e+01,1.332924897273163101e+00
1.365036479711177009e+01,1.335094329117300749e+00
1.364624052514058583e+01,1.337263760961438619e+00
1.364102321708911525e+01,1.339433192805576267e+00
1.363441802442909356e+01,1.341602624649714137e+00
1.362604056736719826e+01,1.343772056493851785e+00
1.361540058661585384e+01,1.345941488337989655e+00
1.360187955188421505e+01,1.348110920182127526e+00
1.359753005989314545e+01,1.348685223665379240e+00
1.358468282248712988e+01,1.350280352026265174e+00
1.356253139979636657e+01,1.352449783870402822e+00
1.353905330675241458e+01,1.354263292137773300e+00
1.353376509579048559e+01,1.354619215714540692e+00
1.349501915646465555e+01,1.356788647558678340e+00
1.348057655361168372e+01,1.357465372422241634e+00
1.344239465017170865e+01,1.358958079402816210e+00
1.342209980047095286e+01,1.359651928607666260e+00
1.337141229609759385e+01,1.361127511246953858e+00
1.336362304733022377e+01,1.361335818746920667e+00
1.330514629418949113e+01,1.362800629479320014e+00
1.328515395842832092e+01,1.363296943091091729e+00
1.324666954104876027e+01,1.364214031690958340e+00
1.319548034168975370e+01,1.365466374935229377e+00
1.318819278790802940e+01,1.365639907505002082e+00
1.312971603476729854e+01,1.367098956878148197e+00
1.310794889893862347e+01,1.367635806779367247e+00
1.307123928162656767e+01,1.368516808552013853e+00
1.301276252848583681e+01,1.369787840853927907e+00
1.301185681697632646e+01,1.369805238623504895e+00
1.295428577534510595e+01,1.370896051340705357e+00
1.289580902220437508e+01,1.371733205152136037e+00
1.287216917183429743e+01,1.371974670467642765e+00
1.283733226906364422e+01,1.372340243013633554e+00
1.277885551592291336e+01,1.372721884552710270e+00
1.272037876278218249e+01,1.372901696258887139e+00
1.266190200964145163e+01,1.372930565954454174e+00
1.260342525650072076e+01,1.372862784574542250e+00
1.254494850335998990e+01,1.372754557276337772e+00
1.248647175021925904e+01,1.372661236046629263e+00
1.242799499707852817e+01,1.372632089621983242e+00
1.236951824393779731e+01,1.372703223136201522e+00
1.231104149079706644e+01,1.372891246476514393e+00
1.225256473765633558e+01,1.373190977220921205e+00
1.219408798451560472e+01,1.373578816030587069e+00
1.213561123137487385e+01,1.374020427535725952e+00
1.212002038700632767e+01,1.374144102311780413e+00
1.207713447823414299e+01,1.374510639209915563e+00
1.201865772509341213e+01,1.374992605072868468e+00
1.196018097195268126e+01,1.375429784385032494e+00
1.190170421881195040e+01,1.375807916568190015e+00
1.184322746567121953e+01,1.376121441941789536e+00
1.179863649367087142e+01,1.376313534155918283e+00
1.178475071253048689e+01,1.376377543698117378e+00
1.172627395938975781e+01,1.376591564206412377e+00
1.166779720624902694e+01,1.376759061971784215e+00
1.160932045310829608e+01,1.376898981249833342e+00
1.155084369996756521e+01,1.377034371519181288e+00
1.149236694682683613e+01,1.377190457549871683e+00
1.143389019368610349e+01,1.377390958813373478e+00
1.137541344054537262e+01,1.377652932403520269e+00
1.131693668740464176e+01,1.377981598274082620e+00
1.125845993426391090e+01,1.378367449925676613e+00
1.124286702791174442e+01,1.378482966000055931e+00
1.119998318112318003e+01,1.378830107166616692e+00
1.114150642798244917e+01,1.379313014359291989e+00
1.108302967484171830e+01,1.379763610057838097e+00
1.102455292170098744e+01,1.380151905144877622e+00
1.096607616856025658e+01,1.380458045234090658e+00
1.091315355724474045e+01,1.380652397844193802e+00
1.090759941541952571e+01,1.380675413431710963e+00
1.084912266227879485e+01,1.380814833004341047e+00
1.079064590913806398e+01,1.380848171015429005e+00
1.073216915599733490e+01,1.380779590081128161e+00
1.068763026605471644e+01,1.380652397844193802e+00
1.067369240285660226e+01,1.380617781218492768e+00
1.061521564971587139e+01,1.380388997625312086e+00
1.055673889657514053e+01,1.380072532817197439e+00
1.049826214343440967e+01,1.379661736381940562e+00
1.043978539029367880e+01,1.379146413857242459e+00
1.038130863715294794e+01,1.378512963013946768e+00
1.037889277084700979e+01,1.378482966000055931e+00
1.032283188401221707e+01,1.377841392780103202e+00
1.026435513087148621e+01,1.377040985851071264e+00
1.021896048774629229e+01,1.376313534155918283e+00
1.020587837773075535e+01,1.376114818134291484e+00
1.014740162459002448e+01,1.375122910785522734e+00
1.009772059343825568e+01,1.374144102311780413e+00
1.008892487144929362e+01,1.373975376093901080e+00
1.003044811830856275e+01,1.372755911067149670e+00
9.996938903778859853e+00,1.371974670467642765e+00
9.971971365167831891e+00,1.371393783988588799e+00
9.913494612027101027e+00,1.369897030783447045e+00
9.910065152518209075e+00,1.369805238623504895e+00
9.855017858886370163e+00,1.368302908629293713e+00
9.832213324419782907e+00,1.367635806779367247e+00
9.796541105745639300e+00,1.366554632808335557e+00
9.762424593250312199e+00,1.365466374935229377e+00
9.738064352604908436e+00,1.364649105511038574e+00
9.699168517277126256e+00,1.363296943091091729e+00
9.679587599464177572e+00,1.362570752417421982e+00
9.641552131463921427e+00,1.361127511246953858e+00
9.621110846323446708e+00,1.360288673776381074e+00
9.589097420732514365e+00,1.358958079402816210e+00
9.562634093182715844e+00,1.357752648165913234e+00
9.541564546675530778e+00,1.356788647558678340e+00
9.504157340041984980e+00,1.354888479282789104e+00
9.498839058472075436e+00,1.354619215714540914e+00
9.459523023826143628e+00,1.352449783870402822e+00
9.445680586901254117e+00,1.351591879184856460e+00
9.424106352843670820e+00,1.350280352026265174e+00
9.392629094806345336e+00,1.348110920182127304e+00
9.387203833760523253e+00,1.347696862787702621e+00
9.363382989122102984e+00,1.345941488337989655e+00
9.337631682569043079e+00,1.343772056493851785e+00
